EventID,ParticleName,Initial_Energy_MeV,Total_Energy_Deposit_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
201,neutron,13194.604165,0.000000,-0.696626,-92.000000,2.818029,90.010291,-90.478967,-0.008359,-0.999965,-0.000180
202,neutron,0.000086,1091.517458,1.557972,-92.000000,1.046906,110.725777,-93.015981,-0.049210,-0.933989,-0.353896
100,gamma,0.061842,352.411577,0.723931,-92.000000,1.295116,58.748111,-62.105175,0.399963,-0.755563,0.518801
0,gamma,0.120864,981.095913,2.457617,-92.000000,-0.821079,136.375416,-98.554814,-0.102631,-0.682254,-0.723876
1,gamma,0.268824,477.371715,0.574866,-92.000000,-2.125960,139.996201,-127.112983,-0.387881,-0.512630,-0.766002
2,neutron,13195.000000,0.000000,0.657380,-92.000000,1.468524,90.000000,-90.000000,0.000000,-1.000000,0.000000
300,neutron,16.734564,2090.790630,1.480018,-92.000000,-2.194133,136.652348,-56.048753,0.383359,-0.569397,-0.727202
301,neutron,13195.000000,2354.505170,-2.953164,-92.000000,-1.376008,90.000000,-90.000000,0.000000,-1.000000,0.000000
302,neutron,13076.660244,0.000000,-1.292080,-92.000000,-0.237251,91.780410,-88.873762,0.019646,-0.999324,-0.031069
203,neutron,33.524296,1691.877221,-2.888996,-92.000000,-0.826223,109.010243,-135.428699,-0.673525,-0.663521,-0.325737
303,gamma,0.295603,1756.797049,-2.644557,-92.000000,-0.624571,87.074670,-98.192188,-0.142308,-0.988506,0.051034
101,proton,905.953820,2802.159917,-1.896066,-92.000000,-0.502692,63.992822,-84.052064,0.093132,-0.893901,0.438484
204,neutron,7.288486,1929.984505,2.214045,-92.000000,0.014405,81.360619,-49.483734,0.642292,-0.751596,0.150215
205,neutron,13195.000000,0.000000,2.511506,-92.000000,-1.680064,90.000000,-90.000000,0.000000,-1.000000,0.000000
4,gamma,0.372358,732.785667,-2.413225,-92.000000,0.795228,51.770218,-77.990804,0.163445,-0.768343,0.618817
206,neutron,13194.955078,1721.015594,1.770646,-92.000000,2.057598,89.785899,-89.926156,0.001289,-0.999992,0.003737
104,neutron,13195.000000,405.140784,2.305498,-92.000000,1.115104,90.000000,-90.000000,0.000000,-1.000000,0.000000
105,neutron,13195.000000,0.000000,0.937645,-92.000000,1.097427,90.000000,-90.000000,0.000000,-1.000000,0.000000
305,proton,12482.958471,2554.890122,-2.784729,-92.000000,-2.410051,90.362099,-88.499725,0.026181,-0.999637,-0.006320
306,neutron,13195.000000,1308.287717,2.167035,-92.000000,1.154642,90.000000,-90.000000,0.000000,-1.000000,0.000000
5,neutron,48.652261,2117.482953,-1.186682,-92.000000,1.564224,98.715537,-65.356415,0.412157,-0.898424,-0.151529
207,neutron,3.183957,1041.737603,2.593355,-92.000000,-2.301712,90.420192,-42.440534,0.737958,-0.674806,-0.007334
6,neutron,4717.643795,1315.532320,-0.816986,-92.000000,-0.982705,85.784455,-84.340238,0.098354,-0.992433,0.073509
7,neutron,13194.691819,510.943735,-0.359500,-92.000000,0.480809,89.652427,-90.175275,-0.003059,-0.999977,0.006066
106,neutron,13194.142649,3562.935075,1.794608,-92.000000,1.956492,89.474565,-90.381430,-0.006657,-0.999936,0.009170
8,neutron,110.911998,891.172101,0.537409,-92.000000,-2.438629,80.116329,-84.689237,0.091184,-0.980929,0.171648
107,neutron,13195.000000,843.068498,-0.815632,-92.000000,0.311827,90.000000,-90.000000,0.000000,-1.000000,0.000000
208,gamma,0.722628,659.195931,-1.135635,-92.000000,-2.984480,87.367409,-84.277667,0.099602,-0.993967,0.045931
209,neutron,13195.000000,0.088427,2.191902,-92.000000,-2.278754,90.000000,-90.000000,0.000000,-1.000000,0.000000
9,neutron,13038.258233,589.883537,0.437068,-92.000000,1.815611,90.301987,-89.101362,0.015683,-0.999863,-0.005271
10,neutron,13195.000000,0.000000,0.922240,-92.000000,-1.094978,90.000000,-90.000000,0.000000,-1.000000,0.000000
11,neutron,13195.000000,24.704469,2.784276,-92.000000,-1.507962,90.000000,-90.000000,0.000000,-1.000000,0.000000
12,neutron,13142.136901,177.227459,-1.967396,-92.000000,-0.968788,90.058126,-89.949162,0.000887,-0.999999,-0.001014
13,pi+,703.064516,751.371842,-1.692742,-92.000000,-0.476315,99.810413,-89.468880,0.009134,-0.985335,-0.170389
14,neutron,12855.971146,0.000000,-0.181388,-92.000000,1.333845,91.746558,-88.124550,0.032712,-0.999000,-0.030478
307,neutron,115.712813,2191.776712,2.052664,-92.000000,0.072693,54.292403,-79.902092,0.142370,-0.799428,0.583649
15,neutron,13195.000000,204.024296,0.361446,-92.000000,-0.759493,90.000000,-90.000000,0.000000,-1.000000,0.000000
210,neutron,13195.000000,2565.973881,-0.148531,-92.000000,-1.382825,90.000000,-90.000000,0.000000,-1.000000,0.000000
211,neutron,13195.000000,0.000000,2.281489,-92.000000,-0.932179,90.000000,-90.000000,0.000000,-1.000000,0.000000
16,proton,12714.118748,112.636257,-2.246576,-92.000000,-0.793739,89.847271,-90.255366,-0.004457,-0.999987,0.002666
109,gamma,0.398204,108.213518,-0.251381,-92.000000,-0.933428,116.661783,-88.938369,0.016558,-0.893517,-0.448723
110,neutron,13195.000000,0.000000,2.853961,-92.000000,-0.855244,90.000000,-90.000000,0.000000,-1.000000,0.000000
111,neutron,13195.000000,0.071236,1.295842,-92.000000,2.187944,90.000000,-90.000000,0.000000,-1.000000,0.000000
17,neutron,886.822495,189.310005,-0.998403,-92.000000,-1.174963,71.775965,-71.027438,0.308808,-0.898240,0.312733
212,gamma,0.090781,518.830771,2.538186,-92.000000,0.460000,50.365646,-54.645087,0.445628,-0.628106,0.637886
213,neutron,13195.000000,0.000000,-2.739265,-92.000000,2.649719,90.000000,-90.000000,0.000000,-1.000000,0.000000
214,gamma,2.439363,4.847178,-2.948039,-92.000000,-2.409923,80.040922,-87.503496,0.042902,-0.983997,0.172945
215,neutron,13195.000000,0.425860,2.534527,-92.000000,-1.779427,90.000000,-90.000000,0.000000,-1.000000,0.000000
113,gamma,5.866864,551.220923,-2.774922,-92.000000,-0.815291,57.632661,-115.330036,-0.361361,-0.763429,0.535345
114,neutron,13195.000000,0.000000,-1.377525,-92.000000,2.234414,90.000000,-90.000000,0.000000,-1.000000,0.000000
216,gamma,0.102617,450.150287,0.232887,-92.000000,-0.719652,78.767654,-113.894161,-0.397290,-0.896782,0.194788
308,neutron,0.007580,2769.751778,-1.735927,-92.000000,0.065428,109.429053,-103.966934,-0.227617,-0.915173,-0.332639
217,gamma,1.112773,1524.765822,-0.451084,-92.000000,-0.301422,122.347242,-109.155331,-0.277211,-0.798045,-0.535049
115,neutron,506.824458,1629.737116,0.097241,-92.000000,-0.180390,80.654608,-125.911196,-0.578746,-0.799177,0.162386
19,pi-,1111.138573,2413.107291,1.835674,-92.000000,0.665847,113.938737,-90.467429,-0.007456,-0.913949,-0.405760
309,neutron,5.480023,573.530543,-0.961950,-92.000000,-1.868023,81.516539,-110.725883,-0.350025,-0.925051,0.147524
