EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
300,proton,253.706178,215.773167,0.273398,-92.000000,-2.601781,89.206875,-90.559843,-0.009770,-0.999856,0.013842
201,proton,253.406008,215.549919,-0.478808,-92.000000,2.213977,87.409098,-90.454335,-0.007921,-0.998946,0.045204
2,proton,257.148490,210.329904,0.036001,-92.000000,0.087084,90.506191,-88.682830,0.022986,-0.999697,-0.008835
302,proton,252.416149,252.416149,2.958019,-92.000000,0.769514,88.423064,-89.817850,0.003178,-0.999616,0.027519
303,proton,254.463528,246.175904,2.744084,-92.000000,2.174581,89.039217,-89.122587,0.015311,-0.999742,0.016768
204,proton,255.498922,255.498922,-2.937745,-92.000000,0.243717,91.171232,-90.842601,-0.014703,-0.999683,-0.020440
205,proton,252.897200,252.897200,-1.677660,-92.000000,1.577029,90.118481,-90.160250,-0.002797,-0.999994,-0.002068
105,proton,253.943516,253.943516,0.014606,-92.000000,0.151077,90.254643,-91.675826,-0.029244,-0.999562,-0.004444
305,proton,253.654104,244.158766,-0.629034,-92.000000,-2.077293,91.097680,-91.267395,-0.022114,-0.999572,-0.019157
5,proton,255.547653,255.547653,2.896124,-92.000000,-0.970673,90.854626,-87.866105,0.037231,-0.999195,-0.014915
206,proton,255.267984,255.267984,0.931222,-92.000000,0.351455,88.795607,-89.560299,0.007672,-0.999750,0.021019
107,proton,256.801396,256.801396,-0.420906,-92.000000,-1.973238,90.721018,-90.925701,-0.016155,-0.999790,-0.012584
7,proton,255.795266,247.518493,-1.410972,-92.000000,-0.583993,90.482400,-89.800044,0.003490,-0.999958,-0.008419
308,proton,255.265165,255.265165,2.705702,-92.000000,-0.390716,90.655154,-89.385024,0.010732,-0.999877,-0.011434
309,proton,254.831709,254.831709,1.315221,-92.000000,0.055182,91.320439,-88.577243,0.024823,-0.999426,-0.023044
210,proton,257.048973,257.048973,-0.464694,-92.000000,-0.994345,88.721535,-89.713540,0.004998,-0.999739,0.022312
111,proton,256.409578,256.409578,2.439835,-92.000000,1.687598,87.884181,-88.716171,0.022390,-0.999067,0.036920
