EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
301,neutron,66.000000,0.310818,0.503393,-92.000000,0.617092,90.000000,-90.000000,0.000000,-1.000000,0.000000
0,neutron,66.000000,24.443656,2.780136,-92.000000,2.519765,90.000000,-90.000000,0.000000,-1.000000,0.000000
2,neutron,66.000000,0.000000,1.910060,-92.000000,2.096545,90.000000,-90.000000,0.000000,-1.000000,0.000000
303,neutron,66.000000,23.604282,-1.570251,-92.000000,0.039642,90.000000,-90.000000,0.000000,-1.000000,0.000000
4,neutron,66.000000,24.554738,1.916444,-92.000000,-2.665887,90.000000,-90.000000,0.000000,-1.000000,0.000000
306,neutron,66.000000,0.000000,-0.164940,-92.000000,-0.363146,90.000000,-90.000000,0.000000,-1.000000,0.000000
202,neutron,66.000000,61.623411,2.979130,-92.000000,-2.226658,90.000000,-90.000000,0.000000,-1.000000,0.000000
308,neutron,66.000000,18.770204,-0.384630,-92.000000,-1.542148,90.000000,-90.000000,0.000000,-1.000000,0.000000
205,neutron,66.000000,0.661737,-0.736370,-92.000000,-1.073188,90.000000,-90.000000,0.000000,-1.000000,0.000000
5,neutron,66.000000,15.010623,2.848627,-92.000000,-0.838939,90.000000,-90.000000,0.000000,-1.000000,0.000000
207,neutron,66.000000,7.598175,-0.373650,-92.000000,0.411619,90.000000,-90.000000,0.000000,-1.000000,0.000000
104,neutron,66.000000,0.493598,-0.482052,-92.000000,-2.708420,90.000000,-90.000000,0.000000,-1.000000,0.000000
105,neutron,66.000000,0.029576,1.630371,-92.000000,-1.173817,90.000000,-90.000000,0.000000,-1.000000,0.000000
107,neutron,66.000000,0.108032,-0.205771,-92.000000,-1.652701,90.000000,-90.000000,0.000000,-1.000000,0.000000
10,neutron,66.000000,0.000000,0.529838,-92.000000,-2.117674,90.000000,-90.000000,0.000000,-1.000000,0.000000
11,neutron,66.000000,0.067190,0.938382,-92.000000,1.592265,90.000000,-90.000000,0.000000,-1.000000,0.000000
15,neutron,66.000000,0.961706,0.573117,-92.000000,2.891743,90.000000,-90.000000,0.000000,-1.000000,0.000000
17,neutron,66.000000,4.788396,1.465839,-92.000000,1.231162,90.000000,-90.000000,0.000000,-1.000000,0.000000
209,neutron,66.000000,0.516600,-1.518879,-92.000000,1.878910,90.000000,-90.000000,0.000000,-1.000000,0.000000
211,neutron,66.000000,0.260831,-0.176146,-92.000000,-1.023429,90.000000,-90.000000,0.000000,-1.000000,0.000000
212,neutron,66.000000,0.292682,0.042778,-92.000000,2.844509,90.000000,-90.000000,0.000000,-1.000000,0.000000
213,neutron,66.000000,0.000000,-1.756541,-92.000000,-0.706453,90.000000,-90.000000,0.000000,-1.000000,0.000000
312,neutron,66.000000,10.895752,2.465756,-92.000000,1.667203,90.000000,-90.000000,0.000000,-1.000000,0.000000
313,neutron,66.000000,0.000000,1.605976,-92.000000,-1.019214,90.000000,-90.000000,0.000000,-1.000000,0.000000
314,neutron,66.000000,14.601585,0.514287,-92.000000,-0.753252,90.000000,-90.000000,0.000000,-1.000000,0.000000
19,neutron,66.000000,0.000000,-1.687716,-92.000000,1.226633,90.000000,-90.000000,0.000000,-1.000000,0.000000
215,neutron,66.000000,0.590151,1.464968,-92.000000,1.184216,90.000000,-90.000000,0.000000,-1.000000,0.000000
216,neutron,66.000000,1.290917,0.351788,-92.000000,-2.324884,90.000000,-90.000000,0.000000,-1.000000,0.000000
