EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
2,neutron,57.000000,0.211592,2.275122,-92.000000,-0.427969,90.000000,-90.000000,0.000000,-1.000000,0.000000
301,neutron,57.000000,0.303395,0.722885,-92.000000,1.244426,90.000000,-90.000000,0.000000,-1.000000,0.000000
4,neutron,57.000000,23.209046,-0.247576,-92.000000,0.243775,90.000000,-90.000000,0.000000,-1.000000,0.000000
5,neutron,57.000000,14.050884,-2.477591,-92.000000,-1.646049,90.000000,-90.000000,0.000000,-1.000000,0.000000
10,neutron,57.000000,0.000000,0.326682,-92.000000,-0.258217,90.000000,-90.000000,0.000000,-1.000000,0.000000
11,neutron,57.000000,0.070380,2.473715,-92.000000,-0.425242,90.000000,-90.000000,0.000000,-1.000000,0.000000
104,neutron,57.000000,0.631799,0.816140,-92.000000,-2.164256,90.000000,-90.000000,0.000000,-1.000000,0.000000
105,neutron,57.000000,0.031796,2.483604,-92.000000,1.118295,90.000000,-90.000000,0.000000,-1.000000,0.000000
107,neutron,57.000000,0.110735,2.515629,-92.000000,0.667954,90.000000,-90.000000,0.000000,-1.000000,0.000000
205,neutron,57.000000,0.635671,0.510867,-92.000000,-2.025158,90.000000,-90.000000,0.000000,-1.000000,0.000000
15,neutron,57.000000,0.924231,-2.414277,-92.000000,-2.893946,90.000000,-90.000000,0.000000,-1.000000,0.000000
207,neutron,57.000000,24.292536,2.048251,-92.000000,2.173803,90.000000,-90.000000,0.000000,-1.000000,0.000000
209,neutron,57.000000,0.498879,-1.094250,-92.000000,1.455024,90.000000,-90.000000,0.000000,-1.000000,0.000000
211,neutron,57.000000,0.269877,-2.212523,-92.000000,-2.547533,90.000000,-90.000000,0.000000,-1.000000,0.000000
303,neutron,57.000000,24.977023,-0.011984,-92.000000,-1.133968,90.000000,-90.000000,0.000000,-1.000000,0.000000
306,neutron,57.000000,0.000000,0.806882,-92.000000,-1.566994,90.000000,-90.000000,0.000000,-1.000000,0.000000
308,neutron,56.562501,16.660872,1.974255,-92.000000,-1.162376,108.260354,-86.740383,0.053997,-0.948106,-0.313335
212,neutron,57.000000,22.286211,0.968867,-92.000000,1.228363,90.000000,-90.000000,0.000000,-1.000000,0.000000
213,neutron,57.000000,0.000000,-0.023379,-92.000000,1.862605,90.000000,-90.000000,0.000000,-1.000000,0.000000
110,neutron,57.000000,0.000000,1.958104,-92.000000,-0.551346,90.000000,-90.000000,0.000000,-1.000000,0.000000
111,neutron,56.652335,0.000000,2.317411,-92.000000,-1.417684,87.687911,-73.653154,0.281222,-0.958794,0.040343
17,neutron,57.000000,2.071151,-1.300641,-92.000000,1.531905,90.000000,-90.000000,0.000000,-1.000000,0.000000
215,neutron,57.000000,0.566679,-0.053635,-92.000000,-2.268611,90.000000,-90.000000,0.000000,-1.000000,0.000000
312,neutron,57.000000,16.391945,1.286826,-92.000000,1.306873,90.000000,-90.000000,0.000000,-1.000000,0.000000
313,neutron,57.000000,0.000000,0.902399,-92.000000,1.891386,90.000000,-90.000000,0.000000,-1.000000,0.000000
19,neutron,57.000000,1.433809,-1.703578,-92.000000,1.343267,90.000000,-90.000000,0.000000,-1.000000,0.000000
314,neutron,57.000000,22.101419,-0.467440,-92.000000,0.638085,90.000000,-90.000000,0.000000,-1.000000,0.000000
113,neutron,57.000000,24.953729,2.247515,-92.000000,1.645150,90.000000,-90.000000,0.000000,-1.000000,0.000000
20,neutron,56.760625,7.472063,-2.476878,-92.000000,0.206196,96.216951,-103.257770,-0.227984,-0.967624,-0.108293
114,neutron,57.000000,0.122984,-2.018131,-92.000000,-2.371203,90.000000,-90.000000,0.000000,-1.000000,0.000000
218,neutron,57.000000,0.148392,-1.475504,-92.000000,-1.671717,90.000000,-90.000000,0.000000,-1.000000,0.000000
115,neutron,57.000000,21.622258,0.565890,-92.000000,-2.793707,90.000000,-90.000000,0.000000,-1.000000,0.000000
220,neutron,57.000000,0.081330,0.961264,-92.000000,0.901896,90.000000,-90.000000,0.000000,-1.000000,0.000000
21,neutron,57.000000,11.166087,0.683101,-92.000000,2.645679,90.000000,-90.000000,0.000000,-1.000000,0.000000
222,neutron,57.000000,33.993368,-0.040541,-92.000000,-2.207172,90.000000,-90.000000,0.000000,-1.000000,0.000000
320,neutron,57.000000,0.428482,-0.439921,-92.000000,-2.687631,90.000000,-90.000000,0.000000,-1.000000,0.000000
321,neutron,57.000000,0.035455,2.749160,-92.000000,2.395425,90.000000,-90.000000,0.000000,-1.000000,0.000000
22,gamma,0.629661,1.289009,-0.859811,-92.000000,-0.591752,81.840514,-92.326428,-0.040182,-0.989061,0.141929
122,neutron,57.000000,22.934397,-0.413520,-92.000000,2.460505,90.000000,-90.000000,0.000000,-1.000000,0.000000
231,neutron,57.000000,0.486686,-1.836777,-92.000000,1.782936,90.000000,-90.000000,0.000000,-1.000000,0.000000
232,neutron,57.000000,0.000000,-0.140997,-92.000000,1.044480,90.000000,-90.000000,0.000000,-1.000000,0.000000
233,neutron,57.000000,24.877028,-2.674965,-92.000000,-2.707865,90.000000,-90.000000,0.000000,-1.000000,0.000000
236,neutron,57.000000,8.374464,-1.679756,-92.000000,-0.658393,90.000000,-90.000000,0.000000,-1.000000,0.000000
241,neutron,57.000000,0.000000,2.557656,-92.000000,2.111908,90.000000,-90.000000,0.000000,-1.000000,0.000000
242,neutron,57.000000,0.878339,-1.551628,-92.000000,2.535295,90.000000,-90.000000,0.000000,-1.000000,0.000000
243,neutron,57.000000,22.167393,0.008065,-92.000000,-0.726544,90.000000,-90.000000,0.000000,-1.000000,0.000000
244,neutron,57.000000,0.000000,1.710687,-92.000000,-2.456552,90.000000,-90.000000,0.000000,-1.000000,0.000000
245,neutron,57.000000,1.930954,2.048807,-92.000000,0.148756,90.000000,-90.000000,0.000000,-1.000000,0.000000
129,neutron,57.000000,31.988279,-1.553079,-92.000000,1.508258,90.000000,-90.000000,0.000000,-1.000000,0.000000
250,neutron,57.000000,0.000000,-2.344986,-92.000000,0.661909,90.000000,-90.000000,0.000000,-1.000000,0.000000
329,neutron,57.000000,8.847642,-0.799815,-92.000000,-1.925868,90.000000,-90.000000,0.000000,-1.000000,0.000000
251,neutron,57.000000,0.055120,2.936770,-92.000000,0.356284,90.000000,-90.000000,0.000000,-1.000000,0.000000
255,neutron,57.000000,0.358037,-0.471373,-92.000000,0.792517,90.000000,-90.000000,0.000000,-1.000000,0.000000
257,neutron,57.000000,37.656398,-2.621444,-92.000000,1.656398,90.000000,-90.000000,0.000000,-1.000000,0.000000
25,neutron,57.000000,18.013174,1.581530,-92.000000,-1.658339,90.000000,-90.000000,0.000000,-1.000000,0.000000
330,neutron,57.000000,8.930012,1.261499,-92.000000,-1.913288,90.000000,-90.000000,0.000000,-1.000000,0.000000
132,neutron,57.000000,17.353778,-0.876778,-92.000000,0.468437,90.000000,-90.000000,0.000000,-1.000000,0.000000
134,neutron,57.000000,0.569364,-1.903856,-92.000000,-0.237979,90.000000,-90.000000,0.000000,-1.000000,0.000000
335,neutron,57.000000,0.876056,2.907751,-92.000000,2.806082,90.000000,-90.000000,0.000000,-1.000000,0.000000
337,neutron,57.000000,0.290415,-1.589341,-92.000000,0.714662,90.000000,-90.000000,0.000000,-1.000000,0.000000
338,neutron,56.816217,37.886703,1.952965,-92.000000,-1.495726,91.671161,-78.143532,0.205373,-0.978249,-0.029163
263,neutron,57.000000,0.000000,1.046185,-92.000000,0.875984,90.000000,-90.000000,0.000000,-1.000000,0.000000
27,neutron,57.000000,12.149756,0.296073,-92.000000,-2.756578,90.000000,-90.000000,0.000000,-1.000000,0.000000
339,neutron,57.000000,20.958911,-1.185234,-92.000000,2.785434,90.000000,-90.000000,0.000000,-1.000000,0.000000
268,neutron,57.000000,0.180172,0.270119,-92.000000,1.336374,90.000000,-90.000000,0.000000,-1.000000,0.000000
137,neutron,57.000000,0.261716,2.796574,-92.000000,2.366584,90.000000,-90.000000,0.000000,-1.000000,0.000000
270,neutron,57.000000,17.416289,0.601132,-92.000000,0.218970,90.000000,-90.000000,0.000000,-1.000000,0.000000
342,neutron,57.000000,0.222476,-1.999520,-92.000000,-2.479067,90.000000,-90.000000,0.000000,-1.000000,0.000000
31,neutron,57.000000,24.784497,-0.072799,-92.000000,1.763297,90.000000,-90.000000,0.000000,-1.000000,0.000000
33,neutron,57.000000,2.828147,1.850428,-92.000000,1.454949,90.000000,-90.000000,0.000000,-1.000000,0.000000
36,neutron,57.000000,0.658076,-1.256821,-92.000000,0.673003,90.000000,-90.000000,0.000000,-1.000000,0.000000
274,neutron,57.000000,2.869826,-0.045010,-92.000000,0.203507,90.000000,-90.000000,0.000000,-1.000000,0.000000
