EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
0,proton,517.446393,122.863317,-1.392535,-92.000000,-0.802866,90.680410,-90.336813,-0.005878,-0.999912,-0.011875
300,proton,514.179251,223.779823,1.578800,-92.000000,2.065059,90.200507,-90.425029,-0.007418,-0.999966,-0.003499
302,proton,518.142483,121.337295,1.550888,-92.000000,2.191250,89.440773,-89.508965,0.008570,-0.999916,0.009760
204,proton,516.698326,122.543323,0.998040,-92.000000,1.640466,90.009772,-90.808185,-0.014105,-0.999901,-0.000171
4,proton,513.362920,138.383457,2.522580,-92.000000,-1.137172,89.954363,-88.281850,0.029983,-0.999550,0.000797
303,proton,517.301776,215.207835,-2.582571,-92.000000,-0.384356,90.515783,-90.646841,-0.011289,-0.999896,-0.009002
205,proton,514.672269,125.007550,-0.920606,-92.000000,0.323232,89.956886,-90.453987,-0.007923,-0.999968,0.000752
206,proton,516.584337,121.168805,-2.728725,-92.000000,2.380287,90.269782,-90.386137,-0.006739,-0.999966,-0.004709
305,proton,513.364402,316.070377,-0.328801,-92.000000,-1.879357,89.952924,-90.084369,-0.001473,-0.999999,0.000822
107,proton,516.956073,123.720676,0.918319,-92.000000,-1.973612,90.484256,-90.227297,-0.003967,-0.999956,-0.008452
7,proton,515.504077,297.539281,0.876095,-92.000000,-1.203716,90.858473,-89.401268,0.010448,-0.999833,-0.014983
306,proton,510.051691,125.441109,-1.350543,-92.000000,0.652378,85.077773,-84.776547,0.090704,-0.992175,0.085803
307,proton,515.084863,123.290936,-1.359753,-92.000000,-0.783160,90.124616,-89.798821,0.003511,-0.999991,-0.002175
109,proton,516.420901,121.035279,0.896989,-92.000000,2.344815,89.963144,-90.460372,-0.008035,-0.999968,0.000643
9,proton,518.920722,121.306235,-1.143161,-92.000000,1.901245,89.647430,-90.013934,-0.000243,-0.999981,0.006153
209,proton,514.226569,121.777834,-1.943155,-92.000000,-2.693015,90.611313,-90.899582,-0.015699,-0.999820,-0.010669
308,proton,515.671593,123.460058,2.874795,-92.000000,-0.809191,88.646758,-89.502503,0.008680,-0.999683,0.023616
110,proton,516.232153,120.248986,-2.456569,-92.000000,-1.707816,90.263595,-89.648766,0.006130,-0.999971,-0.004601
10,proton,514.640860,125.079524,1.338860,-92.000000,0.267580,89.379678,-90.750342,-0.013095,-0.999856,0.010826
210,proton,515.284177,119.469116,1.238447,-92.000000,-0.729231,90.239284,-90.277156,-0.004837,-0.999980,-0.004176
111,proton,514.544543,231.806311,1.736198,-92.000000,-1.849194,90.158638,-90.133475,-0.002330,-0.999993,-0.002769
11,proton,516.713832,148.792820,1.093054,-92.000000,-1.691931,89.663943,-90.270250,-0.004717,-0.999972,0.005865
211,proton,513.966054,372.091833,-0.812918,-92.000000,-2.311823,91.075990,-89.310909,0.012024,-0.999751,-0.018778
12,proton,514.606914,148.482249,0.211666,-92.000000,0.103294,90.489649,-89.222721,0.013565,-0.999871,-0.008546
311,proton,514.786980,320.902421,2.286471,-92.000000,1.282917,89.602043,-89.630983,0.006440,-0.999955,0.006946
113,proton,515.687361,117.901076,0.378852,-92.000000,-1.185834,89.268039,-89.962214,0.000659,-0.999918,0.012775
312,proton,518.524123,120.563109,-0.598901,-92.000000,0.271955,89.602885,-89.425183,0.010032,-0.999926,0.006931
213,proton,516.225697,139.281661,0.280893,-92.000000,-2.898081,90.922808,-89.325217,0.011775,-0.999801,-0.016105
114,proton,514.432464,356.979440,-2.973296,-92.000000,-1.988529,91.486422,-90.388220,-0.006773,-0.999641,-0.025940
214,proton,516.828237,124.343783,-0.690632,-92.000000,0.937669,89.039442,-89.920995,0.001379,-0.999859,0.016764
115,proton,518.122540,121.333267,2.450995,-92.000000,0.329833,90.808612,-89.591899,0.007122,-0.999875,-0.014112
215,proton,516.743644,137.180132,-0.116503,-92.000000,-2.749133,90.538631,-90.121747,-0.002125,-0.999954,-0.009401
116,proton,517.549933,155.924938,2.443017,-92.000000,-2.404666,89.933599,-89.587128,0.007206,-0.999973,0.001159
216,proton,513.976382,130.353488,-1.372125,-92.000000,-0.882671,89.354319,-90.183405,-0.003201,-0.999931,0.011269
315,proton,518.553860,56.688524,0.961292,-92.000000,0.021387,88.205119,-89.735896,0.004607,-0.999499,0.031321
17,proton,517.133242,128.984675,-1.721910,-92.000000,-1.687495,89.870695,-90.812833,-0.014186,-0.999897,0.002257
119,proton,515.392692,118.454449,1.106147,-92.000000,-1.910058,90.099779,-90.170180,-0.002970,-0.999994,-0.001741
19,proton,519.436585,413.460555,0.074038,-92.000000,-0.826228,89.816657,-90.302707,-0.005283,-0.999981,0.003200
120,proton,512.752338,123.776094,2.315668,-92.000000,-2.739000,93.612253,-87.952356,0.035660,-0.997376,-0.063004
320,proton,517.979462,487.186527,1.466793,-92.000000,0.758289,90.622041,-89.967103,0.000574,-0.999941,-0.010856
219,proton,512.610240,120.986517,2.574952,-92.000000,-0.281698,90.454032,-89.418738,0.010144,-0.999917,-0.007924
121,proton,513.950249,137.425011,-1.139188,-92.000000,0.461628,90.925409,-90.617593,-0.010777,-0.999811,-0.016151
321,proton,511.243988,349.783619,0.496854,-92.000000,2.924874,89.654325,-90.577349,-0.010076,-0.999931,0.006033
23,proton,517.122410,65.761247,1.754910,-92.000000,2.996857,87.791620,-93.023222,-0.052702,-0.997867,0.038534
322,proton,515.587333,451.697801,-1.029504,-92.000000,0.530736,89.630554,-89.900153,0.001743,-0.999978,0.006448
221,proton,512.752822,379.680761,2.311793,-92.000000,0.078595,91.314600,-90.126475,-0.002207,-0.999734,-0.022942
323,proton,517.208486,133.293175,0.345523,-92.000000,-0.016722,91.547081,-90.772539,-0.013478,-0.999545,-0.026998
124,proton,516.415386,115.278378,1.860629,-92.000000,-0.051037,90.359020,-89.248998,0.013107,-0.999894,-0.006266
25,proton,514.716964,125.084691,-1.243122,-92.000000,0.608358,90.174503,-89.475324,0.009157,-0.999953,-0.003046
223,proton,518.012350,239.099746,1.417661,-92.000000,2.587731,89.576866,-89.552260,0.007814,-0.999942,0.007385
125,proton,516.061924,119.939987,-2.113452,-92.000000,2.376366,89.517367,-89.818187,0.003173,-0.999959,0.008423
27,proton,513.824850,142.194910,-0.543285,-92.000000,-0.793347,89.862854,-89.346115,0.011412,-0.999932,0.002394
327,proton,516.019681,141.575403,-1.619678,-92.000000,-1.156745,91.217606,-89.719118,0.004901,-0.999762,-0.021250
224,proton,517.513993,355.402824,1.087340,-92.000000,0.047925,89.761813,-90.860796,-0.015023,-0.999879,0.004157
127,proton,517.353735,290.523864,0.740898,-92.000000,-1.317897,90.960315,-90.043829,-0.000765,-0.999859,-0.016760
128,proton,516.692926,122.043397,1.394319,-92.000000,1.858159,88.853528,-90.565086,-0.009860,-0.999751,0.020008
329,proton,516.542132,120.723853,0.386206,-92.000000,2.662991,90.117288,-89.713012,0.005009,-0.999985,-0.002047
30,proton,518.845233,262.527062,2.238369,-92.000000,-0.230834,90.200654,-90.070229,-0.001226,-0.999993,-0.003502
129,proton,515.249446,120.583030,0.043142,-92.000000,2.382442,90.295414,-90.209331,-0.003653,-0.999980,-0.005156
225,proton,513.565089,296.628141,-1.080748,-92.000000,-0.318945,89.727563,-88.976812,0.017857,-0.999829,0.004755
330,proton,515.022779,292.896761,2.497167,-92.000000,-2.235915,90.926544,-89.350490,0.011334,-0.999805,-0.016171
130,proton,514.316329,117.825472,0.103873,-92.000000,-2.935332,90.230613,-89.869512,0.002277,-0.999989,-0.004025
226,proton,516.409607,120.958196,1.711978,-92.000000,0.083731,90.726752,-90.026263,-0.000458,-0.999919,-0.012684
132,proton,518.072269,120.052299,2.829194,-92.000000,-2.971556,90.755532,-88.819644,0.020598,-0.999701,-0.013186
333,proton,516.321483,283.255648,1.043279,-92.000000,1.023382,87.215341,-90.872981,-0.015218,-0.998703,0.048582
133,proton,516.981281,214.347927,2.405135,-92.000000,2.347562,90.111454,-90.642272,-0.011210,-0.999935,-0.001945
134,proton,517.799178,163.364184,0.291254,-92.000000,-0.171464,89.564481,-90.140403,-0.002450,-0.999968,0.007601
232,proton,515.246275,123.879798,1.336691,-92.000000,1.149895,90.191090,-90.091367,-0.001595,-0.999993,-0.003335
37,proton,517.188795,131.790046,-1.589459,-92.000000,-1.583728,89.666196,-88.778248,0.021322,-0.999756,0.005826
136,proton,515.124450,128.626270,0.780068,-92.000000,0.910364,89.265503,-90.180409,-0.003148,-0.999913,0.012819
38,proton,513.519633,231.045946,-2.535926,-92.000000,0.975345,90.555955,-90.428748,-0.007483,-0.999925,-0.009703
234,proton,518.486729,123.016266,0.284717,-92.000000,-0.931511,90.629679,-90.697298,-0.012169,-0.999866,-0.010990
137,proton,516.842007,122.931457,2.684807,-92.000000,-1.432093,90.099798,-89.533975,0.008134,-0.999965,-0.001742
235,proton,514.015522,117.819119,-2.284125,-92.000000,2.906679,89.298224,-89.908280,0.001601,-0.999924,0.012248
339,proton,513.320293,124.760378,2.158945,-92.000000,0.838609,88.990567,-90.025006,-0.000436,-0.999845,0.017617
138,proton,484.256196,128.462867,2.329180,-92.000000,0.003522,88.444018,-79.789154,0.177206,-0.983799,0.027154
40,proton,515.241363,125.317782,1.313982,-92.000000,-2.630736,90.056392,-90.708835,-0.012371,-0.999923,-0.000984
237,proton,514.271361,123.710519,-0.211136,-92.000000,0.121345,89.660020,-89.679298,0.005597,-0.999967,0.005934
341,proton,514.935079,120.830591,-1.317303,-92.000000,-0.732916,90.534991,-90.821170,-0.014331,-0.999854,-0.009337
42,proton,516.540039,119.530792,2.927036,-92.000000,-0.339029,90.034545,-88.034341,0.034300,-0.999411,-0.000603
140,proton,515.600716,120.548467,0.463206,-92.000000,1.041549,90.662631,-90.390686,-0.006818,-0.999910,-0.011565
43,proton,518.141325,127.541359,-2.041288,-92.000000,2.952632,89.369995,-90.388521,-0.006781,-0.999917,0.010995
141,proton,515.005390,119.701696,0.973696,-92.000000,-2.439474,90.480928,-90.240137,-0.004191,-0.999956,-0.008394
343,proton,510.848917,142.533864,-2.514012,-92.000000,1.415298,90.845165,-90.346435,-0.006046,-0.999873,-0.014750
240,proton,516.836432,141.831928,-2.491860,-92.000000,-2.616921,92.932752,-86.977412,0.052661,-0.997301,-0.051164
142,proton,516.340641,123.335080,-1.615694,-92.000000,2.646277,89.889857,-90.190058,-0.003317,-0.999993,0.001922
45,proton,516.518850,161.856985,1.060152,-92.000000,0.284838,89.278560,-89.655087,0.006019,-0.999903,0.012591
241,proton,515.023373,125.467231,-2.807792,-92.000000,-0.769081,90.205860,-90.102433,-0.001788,-0.999992,-0.003593
345,proton,515.002898,213.174478,-0.899890,-92.000000,0.481198,89.895072,-90.317714,-0.005545,-0.999983,0.001831
143,proton,518.362124,163.659196,1.377249,-92.000000,-0.425277,90.991129,-90.581139,-0.010141,-0.999799,-0.017298
242,proton,515.235140,154.930569,1.058678,-92.000000,-2.179534,90.487444,-90.152914,-0.002669,-0.999960,-0.008507
46,proton,513.005409,121.175066,-1.870682,-92.000000,1.350719,90.041483,-90.827626,-0.014444,-0.999895,-0.000724
47,proton,517.461688,396.243250,2.846930,-92.000000,-1.297443,89.029381,-89.575750,0.007403,-0.999829,0.016940
146,proton,515.805886,121.117583,2.194413,-92.000000,2.253319,90.882354,-89.344076,0.011446,-0.999816,-0.015399
48,proton,518.886697,121.978897,-0.379381,-92.000000,-2.008527,89.942932,-89.586372,0.007219,-0.999973,0.000996
348,proton,516.990863,122.435066,-1.710116,-92.000000,0.053781,90.059666,-90.490263,-0.008557,-0.999963,-0.001041
