EventID,ParticleName,Initial_Energy_MeV,Total_Energy_Deposit_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
300,gamma,0.149007,35.750856,1.819786,-92.000000,0.222432,70.421589,-71.826011,0.293871,-0.895182,0.335097
1,neutron,1.846310,3.470648,-0.174062,-92.000000,-2.424621,100.775057,-88.081857,0.032882,-0.981818,-0.186954
2,neutron,69.478494,44.126799,-1.521308,-92.000000,-2.068593,118.783374,-71.957375,0.271457,-0.833348,-0.481499
302,proton,489.115048,381.368256,-2.108671,-92.000000,-1.681331,91.922908,-96.863104,-0.119430,-0.992275,-0.033555
203,proton,519.233409,119.100949,-0.708411,-92.000000,-0.384920,88.496569,-97.166330,-0.124707,-0.991847,0.026237
303,neutron,62.457307,20.106034,-1.336481,-92.000000,-1.500220,68.514440,-95.170260,-0.083853,-0.926724,0.366267
204,gamma,1.755559,1.884764,-0.499392,-92.000000,-0.861673,77.011821,-137.861861,-0.722558,-0.653756,0.224750
4,mu+,43.328543,55.805932,0.076799,-92.000000,-1.210073,132.106785,-114.512862,-0.307811,-0.675028,-0.670514
104,neutron,0.329123,120.457451,-0.173985,-92.041966,3.000000,156.574083,119.490526,-0.195712,0.346054,-0.917575
305,neutron,146.059232,0.000000,1.449705,-92.000000,0.487203,94.482531,-102.514771,-0.216028,-0.973254,-0.078155
206,proton,523.559152,231.430701,-0.229219,-92.000000,2.409444,89.545516,-86.732499,0.056996,-0.998343,0.007932
307,gamma,0.123339,0.123339,0.917243,-92.000000,1.070063,107.197345,-47.275772,0.648137,-0.701784,-0.295664
7,gamma,0.109379,5.892124,1.927428,-92.000000,1.823288,73.177701,-74.814834,0.250730,-0.923785,0.289404
107,gamma,1.555751,1.555751,2.498894,-92.200000,-2.045680,77.466681,133.154488,-0.667669,0.712128,0.217007
308,proton,526.606471,308.808072,0.815035,-92.000000,-1.530803,88.944369,-91.234533,-0.021541,-0.999598,0.018423
209,proton,510.637660,119.395972,-1.493336,-92.000000,-1.024684,87.354920,-90.309530,-0.005397,-0.998920,0.046149
9,proton,515.318329,127.568143,-2.380389,-92.000000,0.052433,89.493730,-90.803314,-0.014019,-0.999863,0.008836
109,neutron,399.161151,15.479744,-0.998803,-92.000000,2.173344,95.027363,-111.894878,-0.371470,-0.924300,-0.087631
10,proton,510.185429,127.110835,-1.807971,-92.000000,2.346864,86.601740,-89.597673,0.007010,-0.998217,0.059276
110,proton,521.293047,193.834217,0.372117,-92.000000,-1.736902,92.286003,-91.131425,-0.019730,-0.999009,-0.039888
