EventID,ParticleName,Initial_Energy_MeV,Total_Energy_Deposit_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
300,neutron,7150.859790,389.336819,-1.523600,-92.000000,0.478636,90.000000,-90.000000,0.000000,-1.000000,0.000000
301,neutron,7150.859790,0.000000,-1.999546,-92.000000,-2.003271,90.000000,-90.000000,0.000000,-1.000000,0.000000
201,neutron,7150.561762,0.022769,0.821602,-92.000000,-0.969332,90.491244,-90.392250,-0.006846,-0.999940,-0.008574
202,neutron,7150.859790,139.917173,-1.051430,-92.000000,-2.364455,90.000000,-90.000000,0.000000,-1.000000,0.000000
0,neutron,7150.859790,1354.961701,0.557365,-92.000000,1.218017,90.000000,-90.000000,0.000000,-1.000000,0.000000
203,proton,27.999698,139.920006,-1.999706,-92.000000,-0.645184,87.570067,-75.159413,0.255900,-0.965773,0.042398
205,neutron,7150.859790,0.000000,-0.359119,-92.000000,-0.934900,90.000000,-90.000000,0.000000,-1.000000,0.000000
206,neutron,7150.859790,0.101011,-2.389248,-92.000000,2.771677,90.000000,-90.000000,0.000000,-1.000000,0.000000
1,neutron,7150.859790,644.963513,-2.291506,-92.000000,2.681966,90.000000,-90.000000,0.000000,-1.000000,0.000000
2,neutron,7150.859790,0.000000,-1.033190,-92.000000,1.819857,90.000000,-90.000000,0.000000,-1.000000,0.000000
207,neutron,7150.859790,656.968877,-2.071290,-92.000000,-0.335757,90.000000,-90.000000,0.000000,-1.000000,0.000000
209,neutron,7150.859790,0.000000,2.493487,-92.000000,-0.426058,90.000000,-90.000000,0.000000,-1.000000,0.000000
210,neutron,7150.859790,0.000000,-1.824494,-92.000000,-2.481624,90.000000,-90.000000,0.000000,-1.000000,0.000000
211,neutron,7150.859790,0.000000,1.363060,-92.000000,1.917218,90.000000,-90.000000,0.000000,-1.000000,0.000000
212,neutron,7150.859790,0.000000,1.074524,-92.000000,-0.236949,90.000000,-90.000000,0.000000,-1.000000,0.000000
213,neutron,7150.859790,0.000000,1.094972,-92.000000,-2.711580,90.000000,-90.000000,0.000000,-1.000000,0.000000
303,neutron,7150.859790,717.902975,-0.095484,-92.000000,-1.849151,90.000000,-90.000000,0.000000,-1.000000,0.000000
215,neutron,7150.859790,0.000000,0.255230,-92.000000,1.081716,90.000000,-90.000000,0.000000,-1.000000,0.000000
216,neutron,7150.859790,0.000000,-0.038794,-92.000000,1.320726,90.000000,-90.000000,0.000000,-1.000000,0.000000
101,neutron,7150.859790,1812.614292,2.536604,-92.000000,1.811335,90.000000,-90.000000,0.000000,-1.000000,0.000000
4,neutron,7150.859790,1884.911988,0.531500,-92.000000,1.987266,90.000000,-90.000000,0.000000,-1.000000,0.000000
5,neutron,7150.859790,128.314980,-1.628688,-92.000000,1.746042,90.000000,-90.000000,0.000000,-1.000000,0.000000
305,neutron,7082.584231,0.000000,1.681162,-92.000000,-1.596404,90.431260,-89.009112,0.017293,-0.999822,-0.007527
306,neutron,7150.859790,0.000000,-0.594194,-92.000000,-2.057060,90.000000,-90.000000,0.000000,-1.000000,0.000000
217,neutron,7150.859790,1908.096577,-0.264734,-92.000000,-0.592543,90.000000,-90.000000,0.000000,-1.000000,0.000000
218,neutron,7150.859790,0.000000,2.187885,-92.000000,-0.798080,90.000000,-90.000000,0.000000,-1.000000,0.000000
307,neutron,7150.859790,1766.536583,1.151202,-92.000000,2.545284,90.000000,-90.000000,0.000000,-1.000000,0.000000
6,neutron,7150.859790,1723.612389,-2.722521,-92.000000,-0.295904,90.000000,-90.000000,0.000000,-1.000000,0.000000
7,neutron,7150.859790,0.000000,2.869939,-92.000000,-2.065371,90.000000,-90.000000,0.000000,-1.000000,0.000000
8,neutron,7150.859790,0.140636,-0.354092,-92.000000,-1.769104,90.000000,-90.000000,0.000000,-1.000000,0.000000
9,neutron,7150.859790,243.060249,-0.379158,-92.000000,-1.185761,90.000000,-90.000000,0.000000,-1.000000,0.000000
10,neutron,7150.859790,0.000000,1.433233,-92.000000,1.516499,90.000000,-90.000000,0.000000,-1.000000,0.000000
11,neutron,7150.859790,0.000000,-2.287368,-92.000000,-2.093303,90.000000,-90.000000,0.000000,-1.000000,0.000000
12,neutron,7150.859790,0.090714,-0.542962,-92.000000,-0.741292,90.000000,-90.000000,0.000000,-1.000000,0.000000
308,neutron,7150.859790,1314.172321,-0.960292,-92.000000,-2.820353,90.000000,-90.000000,0.000000,-1.000000,0.000000
13,neutron,7150.435331,818.874452,-2.330365,-92.000000,-0.550910,90.791399,-90.128772,-0.002247,-0.999902,-0.013812
309,neutron,7150.859790,2081.997253,-0.299902,-92.000000,-2.011949,90.000000,-90.000000,0.000000,-1.000000,0.000000
14,neutron,7150.859790,973.526603,0.986286,-92.000000,-0.154226,90.000000,-90.000000,0.000000,-1.000000,0.000000
15,neutron,7150.859790,0.000000,-0.842227,-92.000000,-0.127829,90.000000,-90.000000,0.000000,-1.000000,0.000000
219,e-,10.104330,1160.987337,-1.368130,-92.000000,1.371559,79.705724,-70.383715,0.330315,-0.926799,0.178704
220,neutron,7150.859790,0.000000,1.603055,-92.000000,-2.474978,90.000000,-90.000000,0.000000,-1.000000,0.000000
103,neutron,6845.299390,1164.268247,1.215272,-92.000000,1.265384,88.459745,-90.986480,-0.017210,-0.999491,0.026879
104,neutron,7150.859790,0.000000,2.527996,-92.000000,0.930238,90.000000,-90.000000,0.000000,-1.000000,0.000000
105,neutron,7150.859790,0.000000,2.810755,-92.000000,2.358888,90.000000,-90.000000,0.000000,-1.000000,0.000000
106,neutron,7150.859790,0.383411,-2.125065,-92.000000,-2.558525,90.000000,-90.000000,0.000000,-1.000000,0.000000
107,neutron,7150.859790,0.000000,1.848040,-92.000000,-1.475486,90.000000,-90.000000,0.000000,-1.000000,0.000000
221,neutron,7150.828439,0.088310,0.266540,-92.000000,2.540529,89.936194,-89.661529,0.005907,-0.999982,0.001114
311,neutron,7150.859790,1777.262382,-1.165437,-92.000000,2.160689,90.000000,-90.000000,0.000000,-1.000000,0.000000
222,neutron,7150.859790,450.834382,-2.025999,-92.000000,0.783772,90.000000,-90.000000,0.000000,-1.000000,0.000000
16,neutron,4981.764225,1555.651875,-0.078454,-92.000000,-1.988627,93.421166,-90.350148,-0.006100,-0.998199,-0.059675
312,neutron,7150.859790,0.000000,1.043355,-92.000000,0.060890,90.000000,-90.000000,0.000000,-1.000000,0.000000
313,neutron,7150.859790,0.000000,-2.699687,-92.000000,1.466368,90.000000,-90.000000,0.000000,-1.000000,0.000000
17,neutron,7150.859790,737.324766,2.368885,-92.000000,-2.168681,90.000000,-90.000000,0.000000,-1.000000,0.000000
109,neutron,7150.859790,1225.915819,-1.396047,-92.000000,0.303245,90.000000,-90.000000,0.000000,-1.000000,0.000000
110,neutron,7150.859790,0.000000,-0.587849,-92.000000,-0.469720,90.000000,-90.000000,0.000000,-1.000000,0.000000
111,neutron,7150.859790,0.000000,0.280427,-92.000000,0.077384,90.000000,-90.000000,0.000000,-1.000000,0.000000
314,neutron,7150.859790,237.236484,-2.039111,-92.000000,-2.664543,90.000000,-90.000000,0.000000,-1.000000,0.000000
315,neutron,7150.859790,0.351478,-1.586492,-92.000000,-0.142701,90.000000,-90.000000,0.000000,-1.000000,0.000000
316,neutron,7150.859790,0.000000,1.964960,-92.000000,0.949786,90.000000,-90.000000,0.000000,-1.000000,0.000000
223,neutron,7150.859790,2469.924193,-2.175798,-92.000000,-0.173775,90.000000,-90.000000,0.000000,-1.000000,0.000000
19,neutron,7150.859790,0.000000,1.914639,-92.000000,2.853481,90.000000,-90.000000,0.000000,-1.000000,0.000000
20,neutron,7150.859790,357.766608,0.107323,-92.000000,1.940786,90.000000,-90.000000,0.000000,-1.000000,0.000000
21,neutron,7150.859790,0.000000,-0.248419,-92.000000,-2.673773,90.000000,-90.000000,0.000000,-1.000000,0.000000
113,neutron,7150.859790,323.550014,-0.004441,-92.000000,-2.895430,90.000000,-90.000000,0.000000,-1.000000,0.000000
114,neutron,7150.859790,0.000000,0.651281,-92.000000,-0.727256,90.000000,-90.000000,0.000000,-1.000000,0.000000
22,neutron,7150.859790,1039.573367,1.246443,-92.000000,-0.463439,90.000000,-90.000000,0.000000,-1.000000,0.000000
115,neutron,7150.859790,1314.515649,-1.465710,-92.000000,1.638536,90.000000,-90.000000,0.000000,-1.000000,0.000000
225,neutron,7149.732373,686.166706,-0.949475,-92.000000,2.257836,89.300656,-91.097604,-0.019154,-0.999742,0.012206
226,neutron,7150.859790,240.447847,0.503772,-92.000000,0.572244,90.000000,-90.000000,0.000000,-1.000000,0.000000
24,neutron,7150.859790,0.207073,2.767777,-92.000000,2.692374,90.000000,-90.000000,0.000000,-1.000000,0.000000
25,neutron,7150.859790,0.000000,-2.244331,-92.000000,1.127259,90.000000,-90.000000,0.000000,-1.000000,0.000000
26,neutron,7150.859790,0.161268,1.937563,-92.000000,-2.362597,90.000000,-90.000000,0.000000,-1.000000,0.000000
27,neutron,7150.859790,288.464479,0.130945,-92.000000,0.614072,90.000000,-90.000000,0.000000,-1.000000,0.000000
319,neutron,7150.859790,0.060830,1.168329,-92.000000,-0.320304,90.000000,-90.000000,0.000000,-1.000000,0.000000
320,neutron,7150.859790,0.000000,-1.047472,-92.000000,-0.235080,90.000000,-90.000000,0.000000,-1.000000,0.000000
321,neutron,7150.859790,0.000000,2.516229,-92.000000,2.164665,90.000000,-90.000000,0.000000,-1.000000,0.000000
228,neutron,7150.859790,0.000000,-1.528899,-92.000000,-1.177300,90.000000,-90.000000,0.000000,-1.000000,0.000000
322,neutron,7150.859790,755.328793,1.207001,-92.000000,0.555952,90.000000,-90.000000,0.000000,-1.000000,0.000000
116,gamma,0.398844,0.398844,-2.149930,-92.000000,-1.639796,89.889847,-95.225063,-0.091068,-0.995843,0.001923
231,neutron,7150.859790,0.000000,-2.433587,-92.000000,1.819941,90.000000,-90.000000,0.000000,-1.000000,0.000000
232,neutron,7150.859790,0.000000,-2.555021,-92.000000,1.460152,90.000000,-90.000000,0.000000,-1.000000,0.000000
233,neutron,7150.859790,73.625801,-0.727911,-92.000000,0.612460,90.000000,-90.000000,0.000000,-1.000000,0.000000
323,proton,15.589035,1166.959962,-0.890696,-92.000000,-1.008715,105.323035,-82.398566,0.127579,-0.955976,-0.264261
234,neutron,7150.818374,934.674823,-2.444466,-92.000000,-1.175770,90.157304,-90.194888,-0.003401,-0.999990,-0.002745
235,neutron,7150.859790,721.572655,2.756872,-92.000000,2.897450,90.000000,-90.000000,0.000000,-1.000000,0.000000
236,neutron,7150.859790,0.000000,-2.517163,-92.000000,0.595099,90.000000,-90.000000,0.000000,-1.000000,0.000000
237,neutron,7150.859790,0.000000,0.546166,-92.000000,1.283720,90.000000,-90.000000,0.000000,-1.000000,0.000000
238,neutron,7150.859790,0.000000,-1.478975,-92.000000,2.036130,90.000000,-90.000000,0.000000,-1.000000,0.000000
239,neutron,7150.859790,0.266494,2.234776,-92.000000,1.418697,90.000000,-90.000000,0.000000,-1.000000,0.000000
118,gamma,566.919044,0.932962,1.821165,-92.000000,-1.281923,74.949740,-94.889757,-0.082315,-0.962184,0.259666
