EventID,ParticleName,Initial_Energy_MeV,Total_Energy_Deposit_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
300,gamma,0.377382,0.540610,1.735289,-92.000000,1.763682,97.940986,-54.121960,0.580442,-0.802497,-0.138153
0,proton,358.564493,160.282228,-2.139661,-92.000000,-2.074877,90.525538,-94.798393,-0.083646,-0.996453,-0.009172
201,gamma,0.704167,28.358561,2.027803,-92.000000,-1.545782,52.888594,-56.012415,0.445793,-0.661224,0.603367
302,proton,367.685936,300.922265,-2.505900,-92.000000,-0.430103,91.588396,-87.334587,0.046486,-0.998534,-0.027719
2,gamma,0.095341,0.049202,0.438622,-92.000000,-0.000841,79.596288,-72.082349,0.302592,-0.935857,0.180583
303,proton,324.285551,275.128930,2.585889,-92.000000,-1.255161,93.844339,-81.971468,0.139352,-0.987971,-0.067046
4,gamma,1.419322,1.508126,-2.176416,-92.000000,-0.670009,81.299363,-109.871981,-0.336008,-0.929632,0.151272
205,proton,366.635016,175.152867,-1.561974,-92.000000,-2.899008,90.913676,-90.122826,-0.002143,-0.999871,-0.015946
105,proton,278.221338,278.684047,-1.105174,-92.000000,-0.891365,115.020521,-84.330412,0.089521,-0.901724,-0.422943
206,proton,372.328470,322.259011,-0.122902,-92.000000,-1.325157,90.463055,-91.784586,-0.031141,-0.999482,-0.008082
106,gamma,0.233475,0.233475,-1.620190,-92.000000,1.501639,111.143562,-126.329643,-0.552547,-0.751387,-0.360706
307,proton,363.446957,160.613412,-1.365009,-92.000000,0.769445,83.825741,-99.557664,-0.165077,-0.980399,0.107553
308,proton,376.285094,170.289038,0.508276,-92.000000,-0.498832,88.338498,-98.858375,-0.153928,-0.987657,0.028995
309,proton,368.052828,150.670730,1.838348,-92.000000,0.879183,86.511759,-85.313559,0.081551,-0.994810,0.060844
209,proton,376.635215,146.412009,-2.884419,-92.000000,-0.749140,91.744244,-91.190384,-0.020765,-0.999321,-0.030438
109,gamma,0.432199,202.396270,-0.962853,-92.000000,-0.849019,92.024017,-88.345901,0.028847,-0.998960,-0.035318
8,gamma,2.922455,163.117651,-1.484712,-92.000000,-1.590467,113.214475,-131.550146,-0.609574,-0.687784,-0.394174
210,proton,366.908468,155.723336,-2.233999,-92.000000,-0.022517,87.835016,-87.333220,0.046494,-0.998204,0.037777
110,proton,367.145348,157.709788,1.634263,-92.000000,0.832249,91.419054,-88.133136,0.032567,-0.999163,-0.024765
9,proton,373.772440,152.490618,0.048642,-92.000000,1.877236,90.449593,-89.369673,0.011001,-0.999909,-0.007847
211,gamma,0.392008,0.392008,0.341800,-92.000000,2.564258,51.765179,-107.133724,-0.231405,-0.750621,0.618886
111,proton,94.794652,94.981393,1.645462,-92.000000,-2.126369,96.804607,-111.004797,-0.355921,-0.926974,-0.118484
10,proton,373.912119,150.169399,-2.479656,-92.000000,1.048207,89.711865,-91.170061,-0.020420,-0.999779,0.005029
312,neutron,446.237412,0.000000,1.174155,-92.000000,-0.001167,89.712942,-80.569181,0.163855,-0.986472,0.005010
213,neutron,305.365870,189.607377,-1.649162,-92.000000,1.486305,85.838886,-107.653135,-0.302454,-0.950398,0.072561
114,gamma,1.562033,3.693831,-0.636386,-92.000000,-1.085359,93.759731,-125.560995,-0.580318,-0.811746,-0.065573
315,proton,355.434757,158.760466,0.263474,-92.000000,1.977236,98.272851,-87.324827,0.046188,-0.988516,-0.143887
215,proton,162.951836,162.984623,1.192126,-92.000000,2.437235,56.482300,-118.830251,-0.402031,-0.730378,0.552195
216,proton,339.810810,331.477124,-2.558657,-92.000000,-1.995807,83.638961,-102.253925,-0.210938,-0.971200,0.110793
316,neutron,0.000002,0.000000,-2.790607,-92.000000,1.631920,87.525929,-120.207330,-0.502662,-0.863405,0.043167
17,proton,381.164184,299.331850,0.248223,-92.000000,0.245177,92.788381,-91.205902,-0.021020,-0.998595,-0.048647
119,proton,376.231208,238.074630,1.763492,-92.000000,2.934559,90.521076,-91.779288,-0.031048,-0.999477,-0.009094
220,neutron,320.509206,0.000000,-0.456550,-92.000000,-1.085584,123.549960,-110.734724,-0.295060,-0.779424,-0.552664
18,neutron,0.000002,167.770339,-0.206615,-92.000000,-0.508299,76.948816,-97.377987,-0.125097,-0.966103,0.225821
120,gamma,0.074388,0.074388,-2.578341,-92.000000,0.915949,71.624370,-80.301602,0.159872,-0.935447,0.315245
320,neutron,493.882159,14.697308,-0.960098,-92.000000,-0.195146,107.618737,-96.167823,-0.102401,-0.947575,-0.302682
19,neutron,1.861439,0.193701,-2.584606,-92.000000,-0.411192,81.991808,-99.176295,-0.157918,-0.977575,0.139315
221,neutron,191.900687,0.000000,-1.143775,-92.000000,2.282233,57.584954,-101.674802,-0.170827,-0.826723,0.536049
322,gamma,6.897422,6.583427,0.675601,-92.200000,-0.903763,40.016712,174.876102,-0.640441,0.057427,0.765857
323,gamma,0.721238,0.721238,1.456171,-92.200000,-2.492951,50.249559,157.707049,-0.711371,0.291652,0.639445
223,proton,146.479544,146.479544,-0.883822,-92.000000,0.789238,72.664531,-109.581732,-0.319927,-0.899368,0.297966
224,gamma,0.080527,63.640170,0.400471,-92.000000,-2.971531,83.120360,-144.899143,-0.812250,-0.570877,0.119784
125,neutron,7.279135,7.249453,1.126004,-92.000000,2.359107,102.070020,-56.224771,0.543646,-0.812849,-0.209107
225,gamma,0.112588,0.185496,-1.545468,-92.150171,3.000000,109.715278,-25.790255,0.847612,-0.409574,-0.337346
128,proton,368.828539,152.920371,-0.411794,-92.000000,-0.238066,92.211247,-91.360112,-0.023719,-0.998974,-0.038584
130,proton,372.712551,152.934307,2.326218,-92.000000,2.494033,92.753352,-92.320985,-0.040451,-0.998026,-0.048037
327,gamma,0.346277,1.084779,-0.964514,-92.000000,1.401201,55.050088,-73.399810,0.234168,-0.785491,0.572860
230,proton,242.895873,242.895873,-0.164706,-92.000000,1.984787,109.181460,-105.123804,-0.246421,-0.911770,-0.328561
27,gamma,0.703514,0.494060,-2.942023,-92.137784,3.000000,127.221546,122.615043,-0.429201,0.670734,-0.604899
132,proton,373.712442,148.847842,-0.463097,-92.000000,2.453100,90.464391,-89.637399,0.006328,-0.999947,-0.008105
29,proton,381.854882,149.649232,-0.413363,-92.000000,-0.534297,86.395722,-96.476720,-0.112576,-0.991652,0.062865
329,proton,378.992404,150.586113,0.907226,-92.000000,0.675862,90.286487,-89.620510,0.006623,-0.999966,-0.005000
232,proton,214.969177,214.969177,2.230959,-92.000000,-1.227581,107.872450,-56.540188,0.524745,-0.794012,-0.306899
134,neutron,56.281627,17.483512,2.391126,-92.000000,-2.814747,130.758993,-71.264055,0.243302,-0.717324,-0.652879
31,gamma,0.109472,0.032600,0.696949,-92.000000,-0.872824,80.035683,-84.162582,0.100172,-0.979808,0.173035
332,neutron,508.067879,9.227332,-1.946411,-92.000000,-1.891024,98.767502,-111.239796,-0.358039,-0.921181,-0.152425
136,neutron,0.000197,170.788202,0.264072,-92.000000,0.658869,92.822811,-91.109010,-0.019331,-0.998600,-0.049247
33,proton,366.842700,166.798803,-0.426509,-92.000000,0.372946,90.194589,-90.317857,-0.005548,-0.999979,-0.003396
138,neutron,0.000001,0.000000,1.487087,-92.000000,-2.142282,110.295955,-70.182264,0.317980,-0.882366,-0.346869
336,proton,367.761282,150.891533,-2.451426,-92.000000,-0.557704,88.945916,-86.240454,0.065558,-0.997679,0.018396
238,proton,371.627010,150.801533,2.827813,-92.000000,0.865690,86.600131,-90.252149,-0.004393,-0.998230,0.059304
35,proton,316.331823,188.326964,-1.388749,-92.000000,-0.362988,112.482173,-96.674883,-0.107401,-0.917735,-0.382396
337,proton,370.187099,153.008552,-1.604022,-92.000000,1.064160,86.914773,-87.934605,0.035988,-0.997902,0.053821
140,gamma,0.076269,0.076269,2.502476,-92.000000,-0.480054,93.950528,-116.050085,-0.438113,-0.896276,-0.068895
36,neutron,126.794272,0.000000,2.513868,-92.000000,2.758026,78.808237,-84.166189,0.099710,-0.975902,0.194093
338,gamma,0.183110,41.952615,-0.242719,-92.000000,1.611549,72.072749,-68.849333,0.343303,-0.887354,0.307809
141,neutron,199.082038,145.660399,-0.044454,-92.000000,1.467650,84.310912,-97.334344,-0.127030,-0.986933,0.099130
37,neutron,445.352834,2.480636,-0.429342,-92.000000,0.555982,103.870605,-100.578162,-0.178224,-0.954341,-0.239730
241,neutron,0.651359,236.522588,0.382937,-92.000000,2.610466,66.915015,-51.532709,0.572255,-0.720267,0.392096
339,proton,138.888392,138.888392,1.372310,-92.000000,0.811620,117.157303,-96.487606,-0.100532,-0.884059,-0.456435
143,gamma,0.179787,43.342442,-1.615750,-92.000000,2.585380,91.187029,-99.762542,-0.169529,-0.985307,-0.020716
341,proton,369.941781,150.612541,-1.941735,-92.000000,-0.650699,86.676611,-86.980111,0.052594,-0.996932,0.057972
144,neutron,1.441936,188.135911,2.375037,-92.000000,2.450414,64.328685,-66.385112,0.361047,-0.825818,0.433208
40,proton,365.296030,159.522253,-2.749605,-92.000000,0.059119,92.457053,-92.774339,-0.048358,-0.997910,-0.042871
