EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
300,1,0,neutron,19511.576325,-1.243575,-92.000000,-1.386125,90.000000,-90.000000,0.000000,-1.000000,0.000000,637.780848,0.000000
0,1,0,neutron,19511.576325,1.081791,-92.000000,-0.424492,90.000000,-90.000000,0.000000,-1.000000,0.000000,637.780848,0.000000
1,1,0,neutron,19511.576325,1.072060,-92.000000,1.377641,90.000000,-90.000000,0.000000,-1.000000,0.000000,637.780848,0.000000
1,33,31,e-,0.021770,1.117697,-92.200000,1.406324,42.811918,165.477642,-0.657881,0.170413,0.733589,638.691452,0.910604
1,475,20,gamma,0.222855,-0.459445,-92.000000,-1.218131,135.510971,-140.134277,-0.537877,-0.449189,-0.713385,653.141798,15.360950
2,1,0,neutron,19511.576325,2.990399,-92.000000,-2.138269,90.000000,-90.000000,0.000000,-1.000000,0.000000,637.780848,0.000000
301,1,0,neutron,19511.576325,2.243787,-92.000000,2.935025,90.000000,-90.000000,0.000000,-1.000000,0.000000,637.780848,0.000000
100,9,1,proton,2534.289551,2.260874,-92.000000,2.464718,89.569458,-86.449481,0.061927,-0.998052,0.007514,648.147710,0.000000
100,8091,9,neutron,0.925000,-0.239381,-92.000000,-0.739020,107.193444,-144.228719,-0.775099,-0.558429,-0.295599,1503.597770,855.450060
302,2,1,neutron,19455.767330,1.741376,-92.000000,-0.599281,90.398358,-89.608787,0.006828,-0.999953,-0.006953,637.800593,0.000000
100,9836,5,e-,19.055733,-1.821713,-92.000000,2.070641,95.994148,-91.431251,-0.024841,-0.994222,-0.104427,641.089606,-7.058104
302,4829,2280,gamma,0.060475,-2.608428,-92.200000,-1.222266,76.089645,154.121104,-0.873333,0.423670,0.240403,657.213338,19.412746
302,4868,4846,e-,0.079952,1.617765,-92.200000,-2.825730,31.931686,66.559832,0.210395,0.485260,0.848679,648.184611,10.384018
101,1,0,neutron,19511.576325,-0.390835,-92.000000,-1.192009,90.000000,-90.000000,0.000000,-1.000000,0.000000,637.780848,0.000000
101,23,10,gamma,0.095080,-0.932530,-92.000000,1.064337,76.755648,-52.010969,0.599139,-0.767166,0.229104,736.969391,99.188543
101,2212,2171,gamma,0.057917,2.637969,-92.000000,2.584718,53.017055,-97.914839,-0.109998,-0.791205,0.601577,677.516200,39.735353
101,2467,2448,neutron,0.019075,1.798747,-92.200000,-2.288751,141.280114,29.809342,0.542748,0.310952,-0.780213,3072.772756,2434.991908
303,1,0,neutron,19511.576325,-1.102308,-92.000000,-2.072671,90.000000,-90.000000,0.000000,-1.000000,0.000000,637.780848,0.000000
303,712,707,gamma,0.049474,-1.511072,-92.200000,-2.192071,116.859699,86.657895,0.052008,0.890598,-0.451807,1119.980690,482.199843
201,1,0,neutron,19511.576325,1.984567,-92.000000,-2.874620,90.000000,-90.000000,0.000000,-1.000000,0.000000,637.780848,0.000000
202,1,0,neutron,19511.576325,2.270111,-92.000000,-0.750787,90.000000,-90.000000,0.000000,-1.000000,0.000000,637.780848,0.000000
102,6245,6243,e+,1482.037062,0.151894,-92.000000,2.503681,87.890398,-89.955264,0.000780,-0.999322,0.036811,637.562477,0.000000
102,7006,6245,gamma,0.034927,0.152114,-92.000000,2.503865,87.875114,-89.915747,0.001469,-0.999311,0.037078,637.562499,0.000023
