EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
0,1,0,proton,1438.589918,1.118892,-92.000000,2.977567,89.975157,-90.295599,-0.005159,-0.999987,0.000434,692.396963,0.000000
300,1,0,proton,1428.086260,0.247716,-92.000000,1.580291,89.654058,-89.665825,0.005832,-0.999965,0.006038,692.714446,0.000000
201,1,0,proton,1432.386522,2.411142,-92.000000,0.940918,90.809079,-90.104045,-0.001816,-0.999899,-0.014121,692.583727,0.000000
201,2191,2187,gamma,0.349052,2.401317,-92.000000,1.074927,54.316525,-131.460527,-0.537795,-0.608711,0.583307,693.240962,0.657235
1,1,0,proton,1437.401590,2.846994,-92.000000,-1.526021,90.091045,-89.678818,0.005606,-0.999983,-0.001589,692.464997,0.000000
201,2889,2739,e-,0.603500,2.701008,-92.000000,1.082164,78.033431,-57.583855,0.524415,-0.825832,0.207341,694.104967,1.521240
3,1489,1,proton,1425.209960,-0.028376,-92.000000,-0.961348,91.448971,-91.252931,-0.021859,-0.999441,-0.025287,692.945677,0.000000
302,1,0,proton,1437.453572,-1.521437,-92.000000,0.452216,90.743454,-86.821731,0.055438,-0.998378,-0.012975,692.595000,0.000000
203,1,0,proton,1437.974324,-1.617035,-92.000000,-2.780171,90.603180,-90.287709,-0.005021,-0.999932,-0.010527,692.465849,0.000000
4,1,0,proton,1435.221837,1.134643,-92.000000,0.040368,89.768007,-90.074783,-0.001305,-0.999991,0.004049,692.510392,0.000000
204,1,0,proton,1436.481867,-0.386586,-92.000000,-2.389465,89.968956,-90.117426,-0.002049,-0.999998,0.000542,692.509970,0.000000
5,1,0,proton,1435.471411,-1.236912,-92.000000,0.950693,90.104995,-89.753202,0.004307,-0.999989,-0.001833,692.516150,0.000000
305,1,0,proton,1432.539102,2.863004,-92.000000,-0.694808,90.315766,-89.963444,0.000638,-0.999985,-0.005511,692.603604,0.000000
305,2371,2331,e-,2.398125,-2.830993,-92.000000,-0.322223,87.473371,-163.826582,-0.959489,-0.278275,0.044084,712.657598,20.053995
305,2506,2330,e-,0.219178,1.669560,-92.000000,-2.610666,104.389699,-47.520804,0.654136,-0.714385,-0.248516,709.291633,16.688029
205,1,0,proton,1431.183484,0.354103,-92.000000,-1.297047,89.908533,-89.951618,0.000844,-0.999998,0.001596,692.516312,0.000000
206,1,0,proton,1436.270491,0.645457,-92.000000,2.739651,90.057819,-89.847172,0.002667,-0.999996,-0.001009,692.512456,0.000000
104,1,0,proton,1431.452706,1.244029,-92.000000,0.631205,90.270802,-90.024113,-0.000421,-0.999989,-0.004726,692.609576,0.000000
7,1,0,proton,1438.472238,-0.129268,-92.000000,-1.421649,89.635845,-89.781371,0.003816,-0.999973,0.006356,692.431382,0.000000
105,1,0,proton,1433.645771,0.464978,-92.000000,-0.696743,89.990936,-89.924894,0.001311,-0.999999,0.000158,692.517930,0.000000
208,1,0,proton,1435.202940,-1.798277,-92.000000,2.264210,90.013272,-92.186220,-0.038147,-0.999272,-0.000232,692.863889,0.000000
8,1,0,proton,1435.434672,2.053412,-92.000000,2.415589,90.093693,-89.901393,0.001721,-0.999997,-0.001635,692.459000,0.000000
