EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
213,1,0,neutron,30.064506,0.769804,-92.000000,-0.903443,80.528933,-56.651307,0.542239,-0.823954,0.164550,2564.032177,0.000000
213,30,5,neutron,0.009063,-2.347809,-92.000000,-0.935776,74.966445,-103.360233,-0.223164,-0.939637,0.259385,7038.611286,4474.579108
104,28,5,gamma,0.183239,2.311220,-92.200000,-2.917608,55.947469,64.622753,0.355086,0.748577,0.559953,2600.939314,0.000000
104,27,5,gamma,1.569239,-0.936796,-92.200000,0.159594,38.907321,164.114075,-0.604076,0.171915,0.778163,2613.112280,12.172966
306,36,33,gamma,0.181313,-2.456601,-92.000000,-2.524472,110.774369,-95.080224,-0.082793,-0.931312,-0.354689,2509.671292,0.000000
306,4,1,neutron,19.820811,1.897035,-92.000000,0.852652,72.686654,-47.366972,0.646613,-0.702373,0.297597,2594.882875,85.211582
306,61,4,gamma,0.200624,1.741218,-92.000000,-0.700719,130.745775,-114.365955,-0.312563,-0.690132,-0.652704,2624.433028,114.761735
312,24,2,neutron,0.103387,-2.003087,-92.000000,2.049249,98.333773,-96.143578,-0.105890,-0.983758,-0.144939,3589.414379,0.000000
220,1,0,neutron,27.526956,-2.302645,-92.000000,-0.637311,84.443853,-122.523369,-0.535118,-0.839211,0.096821,2569.170701,0.000000
114,8,1,gamma,0.086224,0.266397,-92.000000,1.641144,74.200263,-71.149775,0.310889,-0.910612,0.272276,2517.263142,0.000000
36,1,0,neutron,29.526540,-1.833516,-92.000000,2.527315,84.381906,-81.226902,0.151789,-0.983553,0.097897,2553.298595,0.000000
241,6,1,gamma,4.170378,-0.178200,-92.000000,2.674489,74.910350,-118.576438,-0.461838,-0.847900,0.260330,2511.600562,0.000000
241,4,1,neutron,3.182569,2.604055,-92.000000,2.716319,71.685991,-83.783533,0.102800,-0.943766,0.314225,2676.209275,164.608714
