EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
0,1,0,proton,358.564493,-2.139661,-92.000000,-2.074877,90.525538,-94.798393,-0.083646,-0.996453,-0.009172,806.955241,0.000000
300,2918,2861,gamma,0.377382,1.735289,-92.000000,1.763682,97.940986,-54.121960,0.580442,-0.802497,-0.138153,805.565750,0.000000
300,2962,2917,neutron,0.020908,2.281534,-92.200000,0.012628,138.402403,89.471799,0.006120,0.663867,-0.747826,2836.931140,2031.365391
300,2961,2917,gamma,0.160883,1.990779,-92.200000,2.478345,116.384140,73.816262,0.249686,0.860335,-0.444387,908.509449,102.943699
0,2856,2846,gamma,0.193910,-2.034553,-92.200000,-2.347061,104.124997,80.842408,0.154339,0.957405,-0.244038,4922.073876,4115.118634
0,2871,2869,gamma,0.222536,-1.911371,-92.200000,-2.494088,115.100056,66.742153,0.357582,0.831979,-0.424200,4922.767307,4115.812066
0,2845,2829,gamma,1.881718,-1.315156,-92.200000,-1.926648,83.398229,48.016522,0.664481,0.738409,0.114968,824.895480,17.940238
201,2965,2955,gamma,0.704167,2.027803,-92.000000,-1.545782,52.888594,-56.012415,0.445793,-0.661224,0.603367,804.635481,0.000000
201,2954,2816,e-,26.641822,-0.982184,-92.000000,-2.560474,84.771190,-112.583645,-0.382434,-0.919478,0.091133,801.467841,-3.167640
201,3217,2954,gamma,1.968239,-0.797318,-92.000000,-2.646754,85.181918,-111.557238,-0.366132,-0.926765,0.083992,801.198570,-3.436912
201,3213,2954,gamma,0.073167,-1.644234,-92.119071,-3.000000,63.964641,60.877949,0.437286,0.784937,0.438926,809.899947,5.264465
302,1,0,proton,367.685936,-2.505900,-92.000000,-0.430103,91.588396,-87.334587,0.046486,-0.998534,-0.027719,806.640960,0.000000
302,2913,1,gamma,0.063162,-1.879097,-92.200000,-0.781159,132.293758,59.960859,0.370290,0.640350,-0.672932,815.086333,8.445373
2,2831,2807,gamma,0.095341,0.438622,-92.000000,-0.000841,79.596288,-72.082349,0.302592,-0.935857,0.180583,801.355626,0.000000
2,2830,2807,neutron,0.092937,1.115660,-92.000000,-1.869964,99.223430,-65.207309,0.413915,-0.896093,-0.160285,2104.719866,1303.364240
303,2773,1,proton,324.285551,2.585889,-92.000000,-1.255161,93.844339,-81.971468,0.139352,-0.987971,-0.067046,807.992866,0.000000
4,2846,2818,gamma,1.419322,-2.176416,-92.000000,-0.670009,81.299363,-109.871981,-0.336008,-0.929632,0.151272,803.798638,0.000000
4,2883,2845,gamma,0.088804,1.639033,-92.166766,3.000000,163.268585,-77.291885,0.063330,-0.280833,-0.957665,813.441120,9.642482
205,1,0,proton,366.635016,-1.561974,-92.000000,-2.899008,90.913676,-90.122826,-0.002143,-0.999871,-0.015946,807.265802,0.000000
105,2845,1,proton,278.221338,-1.105174,-92.000000,-0.891365,115.020521,-84.330412,0.089521,-0.901724,-0.422943,811.678004,0.000000
105,2988,2845,e-,0.462708,-0.982535,-92.000000,-0.909210,95.047881,-62.439957,0.460883,-0.883088,-0.087988,811.516141,-0.161863
206,1,0,proton,372.328470,-0.122902,-92.000000,-1.325157,90.463055,-91.784586,-0.031141,-0.999482,-0.008082,807.378261,0.000000
206,2860,1,neutron,0.000020,0.088023,-92.200000,-2.034448,86.733372,51.897588,0.616066,0.785630,0.056983,18342.286192,17534.907931
206,2918,2892,neutron,0.361226,-0.429946,-92.200000,0.446854,87.595562,109.089829,-0.326762,0.944175,0.041953,1131.705923,324.327662
206,2918,2892,neutron,0.009596,2.534876,-92.000000,-1.478269,96.064772,-33.818201,0.826158,-0.553445,-0.105653,7630.552429,6823.174167
106,2780,2765,gamma,0.233475,-1.620190,-92.000000,1.501639,111.143562,-126.329643,-0.552547,-0.751387,-0.360706,805.920770,0.000000
307,1,0,proton,363.446957,-1.365009,-92.000000,0.769445,83.825741,-99.557664,-0.165077,-0.980399,0.107553,808.436323,0.000000
307,2932,1,gamma,2.447391,-2.470311,-92.200000,1.337245,72.065631,139.528613,-0.723766,0.617530,0.307927,818.923843,10.487520
307,2902,1,e-,0.215653,-1.338066,-92.200000,0.767824,85.892213,27.624379,0.883730,0.462482,0.071633,809.777577,1.341254
308,1,0,proton,376.285094,0.508276,-92.000000,-0.498832,88.338498,-98.858375,-0.153928,-0.987657,0.028995,807.401843,0.000000
308,2839,1,neutron,0.253122,0.815907,-92.200000,-2.126398,134.978407,132.964792,-0.482109,0.517636,-0.706840,1181.954975,374.553132
308,2889,2834,neutron,0.000027,0.647317,-92.200000,-0.478483,92.205391,96.839328,-0.118997,0.992149,-0.038482,12860.653787,12053.251945
308,2915,2884,neutron,0.226474,0.175348,-92.200000,-1.011609,103.197319,68.444871,0.357693,0.905501,-0.228305,988.829900,181.428058
308,2915,2884,neutron,0.051343,1.015899,-92.200000,0.510563,137.716065,79.500950,0.122598,0.661541,-0.739820,2249.915780,1442.513937
308,2913,2884,gamma,1.409723,-2.941706,-92.200000,0.852771,62.091896,164.326894,-0.850842,0.238730,0.468055,840.393518,32.991675
308,2911,2884,gamma,0.442975,0.372048,-92.200000,-1.034663,106.960801,64.733361,0.408266,0.864997,-0.291717,832.072127,24.670284
308,2979,2883,gamma,0.138538,-0.830359,-92.200000,0.219233,61.283242,94.779172,-0.073068,0.873957,0.480480,836.175531,28.773688
209,1,0,proton,376.635215,-2.884419,-92.000000,-0.749140,91.744244,-91.190384,-0.020765,-0.999321,-0.030438,805.849683,0.000000
209,2908,2906,gamma,0.503829,-2.609338,-92.200000,-0.579063,74.527925,65.581998,0.398410,0.877556,0.266769,815.213471,9.363788
109,2735,1,gamma,0.432199,-0.962853,-92.000000,-0.849019,92.024017,-88.345901,0.028847,-0.998960,-0.035318,800.146986,0.000000
309,1,0,proton,368.052828,1.838348,-92.000000,0.879183,86.511759,-85.313559,0.081551,-0.994810,0.060844,807.444394,0.000000
109,2732,1,proton,202.114264,-2.553097,-92.000000,0.823312,73.945498,-106.481732,-0.272645,-0.921512,0.276552,814.906599,14.759613
8,2778,1,gamma,2.922455,-1.484712,-92.000000,-1.590467,113.214475,-131.550146,-0.609574,-0.687784,-0.394174,807.113417,0.000000
8,2776,1,proton,351.547314,2.681922,-92.000000,0.598133,92.687753,-83.245798,0.117481,-0.991967,-0.046893,807.296880,0.183463
210,1,0,proton,366.908468,-2.233999,-92.000000,-0.022517,87.835016,-87.333220,0.046494,-0.998204,0.037777,807.570537,0.000000
210,2883,2855,gamma,0.075036,-0.381089,-92.000000,-2.720711,58.282377,-166.361954,-0.826665,-0.200572,0.525733,838.718020,31.147483
110,1,0,proton,367.145348,1.634263,-92.000000,0.832249,91.419054,-88.133136,0.032567,-0.999163,-0.024765,807.261957,0.000000
110,2831,1,gamma,5.405885,0.725998,-92.200000,0.221420,114.842712,139.767673,-0.692787,0.586121,-0.420129,817.499154,10.237197
9,1,0,proton,373.772440,0.048642,-92.000000,1.877236,90.449593,-89.369673,0.011001,-0.999909,-0.007847,807.321904,0.000000
9,2955,1,gamma,0.229127,1.180019,-92.200000,2.042278,86.982386,37.162226,0.795823,0.603236,0.052643,818.299883,10.977978
9,3000,2953,neutron,0.687009,0.989117,-92.200000,2.047054,68.031697,61.807920,0.438126,0.817373,0.374094,926.041014,118.719110
9,3000,2953,neutron,0.560856,-1.914441,-92.200000,1.287890,64.167852,148.093681,-0.764085,0.475718,0.435736,1311.017165,503.695261
9,2999,2953,gamma,8.422748,0.923846,-92.200000,1.255974,108.288177,65.355137,0.395930,0.863001,-0.313797,822.010426,14.688521
9,2998,2953,neutron,1.506099,0.531094,-92.200000,1.409461,95.862668,86.463078,0.061369,0.992875,-0.102144,888.039111,80.717207
211,2774,2732,gamma,0.392008,0.341800,-92.000000,2.564258,51.765179,-107.133724,-0.231405,-0.750621,0.618886,808.707179,0.000000
211,2898,2729,neutron,131.701847,1.925810,-92.000000,-0.174752,79.718144,-89.518620,0.008267,-0.983907,0.178491,818.029207,9.322028
111,2830,2763,proton,94.794652,1.645462,-92.000000,-2.126369,96.804607,-111.004797,-0.355921,-0.926974,-0.118484,820.081431,0.000000
111,3059,2830,e-,0.186741,1.654759,-92.000000,-2.135526,103.138068,-66.613678,0.386539,-0.893825,-0.227298,819.819407,-0.262024
10,1,0,proton,373.912119,-2.479656,-92.000000,1.048207,89.711865,-91.170061,-0.020420,-0.999779,0.005029,806.251765,0.000000
10,2921,1,gamma,1.204043,-2.840405,-92.200000,1.961218,44.270713,114.378745,-0.288131,0.635809,0.716050,816.452826,10.201060
312,2627,1,neutron,446.237412,1.174155,-92.000000,-0.001167,89.712942,-80.569181,0.163855,-0.986472,0.005010,806.091736,0.000000
213,2885,1,neutron,305.365870,-1.649162,-92.000000,1.486305,85.838886,-107.653135,-0.302454,-0.950398,0.072561,810.650409,0.000000
114,2718,1,gamma,1.562033,-0.636386,-92.000000,-1.085359,93.759731,-125.560995,-0.580318,-0.811746,-0.065573,804.009120,0.000000
114,2749,2733,gamma,0.413404,-0.066343,-92.000000,2.210924,57.214283,-122.253524,-0.448654,-0.710977,0.541499,806.646527,2.637407
114,2747,2733,neutron,4.821372,-1.181176,-92.000000,-0.993973,91.429300,-132.530084,-0.675767,-0.736693,-0.024943,968.211159,164.202038
114,2794,2747,gamma,0.107945,-2.120701,-92.200000,-2.121908,143.370578,87.809915,0.022800,0.596201,-0.802511,1022.548206,218.539086
114,2793,2747,gamma,1.636926,-1.964314,-92.200000,-0.963118,87.929736,77.390395,0.218164,0.975243,0.036125,1020.724011,216.714890
114,2792,2747,neutron,1.925832,-1.813918,-92.200000,-1.151345,99.885090,68.028840,0.368585,0.913605,-0.171673,1065.650569,261.641449
215,2881,1,proton,162.951836,1.192126,-92.000000,2.437235,56.482300,-118.830251,-0.402031,-0.730378,0.552195,820.182489,0.000000
215,3118,3040,gamma,0.032787,0.496451,-92.000000,0.873019,102.627697,-133.926656,-0.676956,-0.702807,-0.218615,815.620560,-4.561929
315,2738,1,proton,355.434757,0.263474,-92.000000,1.977236,98.272851,-87.324827,0.046188,-0.988516,-0.143887,808.367030,0.000000
