EventID,ParticleName,Initial_Energy_MeV,Total_Energy_Deposit_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
300,neutron,1149.239222,0.000000,0.097534,-92.099900,0.345629,92.628882,-94.809741,-0.083759,-0.995430,-0.045867
231,neutron,1149.849945,0.000000,0.442058,-92.099900,0.164297,90.000000,-90.000000,0.000000,-1.000000,0.000000
234,gamma,0.379243,0.000000,0.160792,-92.099900,0.164034,112.908292,-78.064356,0.190501,-0.901215,-0.389257
243,neutron,121.012563,0.000000,-0.179047,-92.099900,0.117960,110.696913,-104.184693,-0.229234,-0.906942,-0.353424
244,neutron,1149.849945,0.000000,0.677993,-92.099900,0.088371,90.000000,-90.000000,0.000000,-1.000000,0.000000
42,neutron,1149.849945,0.000000,0.426451,-92.099900,0.330235,90.000000,-90.000000,0.000000,-1.000000,0.000000
260,gamma,0.211841,0.000000,0.096817,-92.099900,0.342789,123.538533,-169.103018,-0.818485,-0.157571,-0.552498
350,neutron,1149.812709,0.000000,-0.367280,-92.099900,0.277770,90.101652,-88.651455,0.023534,-0.999721,-0.001774
405,gamma,0.282894,0.000000,-0.612794,-92.099900,-0.235428,85.834941,-120.770979,-0.510257,-0.856950,0.072630
367,neutron,1149.427395,0.000000,0.592012,-92.099900,0.229175,90.812543,-86.651595,0.058402,-0.998192,-0.014181
373,gamma,0.349493,0.000000,0.656749,-92.099900,-0.288470,84.010235,-98.592765,-0.148595,-0.983377,0.104351
187,neutron,0.142122,0.000000,0.104893,-92.099900,0.208614,100.891366,-62.538308,0.452849,-0.871336,-0.188947
383,neutron,219.292642,0.000000,0.441577,-92.099900,0.186462,76.303271,-63.505691,0.433423,-0.869528,0.236783
448,gamma,5.932454,0.000000,0.308719,-92.099900,-0.107750,72.815912,-80.827628,0.152289,-0.943144,0.295443
197,proton,148.511773,0.000000,-0.044287,-92.099900,0.205815,100.926679,-101.294856,-0.192307,-0.962854,-0.189553
536,proton,80.400018,0.000000,0.031813,-92.099900,0.201856,80.840867,-70.630534,0.327430,-0.931371,0.159177
