EventID,ParticleName,Initial_Energy_MeV,Total_Energy_Deposit_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
1287,nu_e,31.160812,0.000000,-0.678630,-92.099900,0.141469,124.559841,-112.771593,-0.318756,-0.759344,-0.567267
3342,nu_e,30.462260,0.000000,-0.270647,-92.099900,0.148786,125.572151,-76.560896,0.189040,-0.791111,-0.581728
4161,gamma,0.510999,0.000000,-0.099541,-92.099900,-0.329949,58.157560,-76.239219,0.202070,-0.825119,0.527585
4401,nu_e,23.874729,0.000000,0.121034,-92.099900,0.245410,53.760495,-45.441974,0.565903,-0.574701,0.591162
4522,nu_e,9.389275,0.000000,0.127110,-92.099900,-0.002161,71.379766,-65.247748,0.396779,-0.860591,0.319294
5173,anti_nu_mu,28.619024,0.000000,0.429010,-92.099900,0.084194,68.728975,-77.636418,0.199528,-0.910263,0.362780
5783,gamma,0.225612,0.000000,-0.452209,-92.099900,-0.217947,82.832726,-88.756847,0.021526,-0.991953,0.124767
6141,nu_e,37.644421,0.000000,-0.444029,-92.099900,-0.045270,105.284118,-121.047976,-0.497514,-0.826433,-0.263606
6623,anti_nu_mu,47.309726,0.000000,0.531965,-92.099900,0.348560,125.150126,-103.520993,-0.191167,-0.794985,-0.575721
7071,nu_e,22.601973,0.000000,0.558446,-92.099900,-0.249941,130.136541,-102.230444,-0.161957,-0.747159,-0.644611
7321,gamma,0.118376,0.000000,-0.376799,-92.099900,0.226376,75.116692,-62.003654,0.453667,-0.853354,0.256851
7368,nu_e,40.775476,0.000000,-0.559414,-92.099900,0.170849,102.724318,-134.089062,-0.678688,-0.700620,-0.220260
7749,gamma,4.645498,0.000000,0.431421,-92.099900,0.325911,88.298788,-70.019666,0.341547,-0.939396,0.029687
8217,gamma,2.116279,0.000000,0.332673,-92.099900,-0.067056,91.971723,-91.716109,-0.029930,-0.998960,-0.034406
9123,anti_nu_mu,49.038795,0.000000,0.308669,-92.099900,0.061067,98.897288,-57.512894,0.530647,-0.833363,-0.154664
9078,nu_e,42.426744,0.000000,-0.392616,-92.099900,-0.027405,126.598180,-63.054980,0.363794,-0.715682,-0.596199
9581,gamma,0.150666,0.000000,0.661690,-92.099900,0.168679,105.855514,-113.422737,-0.382388,-0.882686,-0.273212
9641,gamma,12.234176,0.000000,-0.440744,-92.099900,-0.147040,68.435995,-79.061816,0.176469,-0.913112,0.367540
9976,gamma,4.386038,0.000000,-0.749492,-92.099900,-0.021458,100.894669,-61.950073,0.461765,-0.866632,-0.189004
