EventID,ParticleName,Initial_Energy_MeV,Total_Energy_Deposit_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
103,mu-,652.773150,0.000000,0.510245,-92.099900,0.174764,94.169878,-90.594774,-0.010353,-0.997299,-0.072714
305,e-,0.715581,0.000000,0.619228,-92.099900,0.203944,42.390506,-140.298629,-0.518704,-0.430657,0.738567
221,mu-,693.745440,0.000000,0.556998,-92.099900,0.287698,85.592778,-86.756289,0.056416,-0.995446,0.076845
222,mu-,679.593042,0.000000,-0.695228,-92.099900,-0.215156,90.304999,-96.192794,-0.107873,-0.994150,-0.005323
226,gamma,0.285904,0.000000,0.603857,-92.099900,-0.310465,87.978045,-113.543561,-0.399197,-0.916186,0.035282
231,gamma,0.119851,0.000000,0.730673,-92.099900,-0.046737,128.270509,-45.120549,0.553977,-0.556313,-0.619375
233,mu-,673.510589,0.000000,-0.579505,-92.099900,-0.248561,92.907637,-96.021737,-0.104771,-0.993202,-0.050726
137,mu-,667.483228,0.000000,-0.679750,-92.099900,0.045802,91.865319,-88.244922,0.030611,-0.999001,-0.032550
139,mu-,645.455968,0.000000,0.591669,-92.099900,-0.054387,83.875909,-85.306849,0.081352,-0.990959,0.106682
53,mu-,705.250774,0.000000,-0.649912,-92.099900,-0.023595,85.942953,-94.090726,-0.071157,-0.994953,0.070750
357,gamma,1.820426,0.000000,-0.158815,-92.099900,-0.012049,108.762684,-97.177329,-0.118301,-0.939440,-0.321649
261,gamma,0.198672,0.000000,-0.078665,-92.099900,0.243314,57.349970,-146.249467,-0.700078,-0.467786,0.539506
264,gamma,0.093176,0.000000,0.011410,-92.099900,0.292247,123.390587,-40.169290,0.638011,-0.538575,-0.550344
272,mu-,745.048412,0.000000,0.024988,-92.099900,0.196811,86.241173,-90.946828,-0.016489,-0.997713,0.065557
180,mu-,720.991524,0.000000,-0.741765,-92.099900,0.055361,88.599493,-88.082029,0.033459,-0.999141,0.024441
285,mu-,625.121341,0.000000,-0.383701,-92.099900,0.286110,90.312430,-91.319178,-0.023022,-0.999720,-0.005453
191,mu-,682.879445,0.000000,0.085397,-92.099900,0.191985,88.981342,-87.265205,0.047706,-0.998703,0.017778
196,mu-,738.903720,0.000000,-0.560383,-92.099900,-0.097126,91.161763,-90.150870,-0.002633,-0.999791,-0.020275
197,e-,0.410117,0.000000,0.611979,-92.099900,-0.145392,53.719474,-84.801834,0.073036,-0.802814,0.591739
506,mu-,715.537363,0.000000,-0.671196,-92.099900,-0.267959,93.768559,-90.642826,-0.011195,-0.997775,-0.065726
409,mu-,667.853346,0.000000,-0.184378,-92.099900,0.156755,84.031729,-84.327378,0.098308,-0.989709,0.103978
616,mu-,690.830534,0.000000,0.085029,-92.099900,0.110762,88.706686,-86.642252,0.058555,-0.998029,0.022571
426,e-,10.516438,0.000000,0.070234,-92.099900,-0.312150,105.283193,-64.419687,0.416506,-0.870082,-0.263590
750,mu-,629.932080,0.000000,-0.372939,-92.099900,-0.002735,92.461295,-90.360911,-0.006293,-0.999058,-0.042944
