EventID,ParticleName,Initial_Energy_MeV,Total_Energy_Deposit_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
122,neutron,0.662500,0.000000,-0.710894,-92.099900,-0.267431,100.369193,-80.613961,0.160422,-0.970499,-0.179990
137,nu_e,22.725453,0.000000,-0.435628,-92.099900,-0.176893,125.201322,-94.542476,-0.064715,-0.814565,-0.576451
337,neutron,116.724948,0.000000,0.517029,-92.099900,-0.248594,64.365822,-112.511702,-0.345188,-0.832876,0.432624
151,neutron,83.736892,0.000000,0.481823,-92.099900,0.028286,125.020147,-49.407443,0.532871,-0.621875,-0.573864
158,gamma,0.805898,0.000000,-0.666051,-92.099900,0.002925,97.486658,-146.926755,-0.830830,-0.541059,-0.130295
60,gamma,0.126615,0.000000,0.404899,-92.099900,-0.183682,80.695009,-91.457467,-0.025100,-0.986522,0.161690
378,gamma,1.929679,0.000000,-0.687772,-92.099900,0.067141,52.816101,-101.353434,-0.156839,-0.781110,0.604375
86,nu_mu,29.791916,0.000000,-0.260802,-92.099900,0.127326,118.051633,-50.336093,0.563300,-0.679369,-0.470267
193,neutron,126.923703,0.000000,-0.678304,-92.099900,0.142199,73.344388,-76.946154,0.216390,-0.933287,0.286618
198,neutron,425.296468,0.000000,-0.711137,-92.099900,0.097663,107.625544,-126.733477,-0.570016,-0.763804,-0.302795
95,neutron,2.509586,0.000000,0.395074,-92.099900,0.338654,93.764722,-53.890145,0.588064,-0.806145,-0.065660
763,neutron,455.281381,0.000000,-0.365186,-92.099900,-0.187053,75.458760,-96.875283,-0.115874,-0.961007,0.251077
775,neutron,101.084015,0.000000,0.676081,-92.099900,-0.210706,124.778145,-47.576133,0.554102,-0.606312,-0.570400
581,proton,462.785116,0.000000,0.460909,-92.099900,-0.256747,94.079204,-89.269882,0.012710,-0.997386,-0.071135
1001,nu_mu,29.791916,0.000000,-0.697802,-92.099900,0.221378,95.041807,-92.773438,-0.048200,-0.994964,-0.087883
1005,gamma,0.814978,0.000000,0.747897,-92.099900,-0.095582,97.464692,-77.844680,0.208778,-0.969296,-0.129915
884,gamma,2.113388,0.000000,0.670100,-92.099900,0.269525,99.259057,-80.459661,0.163582,-0.973320,-0.160899
892,e-,1.264579,0.000000,0.115266,-92.099900,-0.246219,81.651456,-91.834116,-0.031667,-0.988896,0.145195
894,anti_nu_mu,31.829416,0.000000,-0.262394,-92.099900,-0.098072,119.465183,-140.559183,-0.672390,-0.553110,-0.491895
897,proton,277.046093,0.000000,-0.675717,-92.099900,0.148378,60.973685,-53.547598,0.519527,-0.703322,0.485211
1333,gamma,1.451397,0.000000,0.643929,-92.099900,0.199557,127.860837,-91.723740,-0.023749,-0.789147,-0.613746
1832,neutron,108.475998,0.000000,0.237797,-92.099900,0.158369,90.163945,-111.637067,-0.368724,-0.929534,-0.002861
1850,neutron,177.341882,0.000000,-0.067196,-92.099900,0.117185,63.711443,-121.341073,-0.466337,-0.765752,0.442892
1761,neutron,367.035211,0.000000,-0.613406,-92.099900,0.199353,116.721346,-79.051184,0.169648,-0.876945,-0.449652
1897,gamma,0.235896,0.000000,-0.565038,-92.099900,0.112261,136.036389,-110.461285,-0.242675,-0.650403,-0.719781
2009,neutron,381.472134,0.000000,0.564263,-92.099900,0.273670,126.527521,-133.706282,-0.555237,-0.580895,-0.595209
