EventID,ParticleName,Initial_Energy_MeV,Total_Energy_Deposit_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
119,e-,0.215667,0.000000,0.235716,-92.099900,-0.275367,88.281537,-122.830382,-0.541910,-0.839901,0.029988
225,proton,443.510325,0.000000,0.411350,-92.099900,0.095604,88.622122,-89.089406,0.015888,-0.999585,0.024046
27,proton,442.881120,0.000000,-0.037316,-92.099900,-0.027528,90.763760,-89.921458,0.001371,-0.999910,-0.013330
54,proton,445.140033,0.000000,-0.547960,-92.099900,-0.115259,89.439366,-88.729177,0.022177,-0.999706,0.009785
162,proton,443.069786,0.000000,-0.309592,-92.099900,0.272779,89.471530,-88.038617,0.034224,-0.999372,0.009223
66,proton,444.218564,0.000000,0.639473,-92.099900,0.258880,89.936614,-90.215371,-0.003759,-0.999992,0.001106
379,neutron,4.841610,0.000000,0.409755,-92.099900,-0.032660,115.599107,-93.028401,-0.047645,-0.900580,-0.432072
399,proton,441.816591,0.000000,-0.246149,-92.099900,-0.270000,88.905546,-95.828742,-0.101537,-0.994648,0.019101
409,proton,441.943077,0.000000,-0.068778,-92.099900,-0.160203,90.376017,-90.863330,-0.015067,-0.999865,-0.006563
534,proton,445.280626,0.000000,0.024467,-92.099900,0.043237,88.986802,-88.818698,0.020613,-0.999631,0.017683
863,proton,443.333899,0.000000,0.648773,-92.099900,0.148729,89.992676,-90.778434,-0.013586,-0.999908,0.000128
1063,proton,442.289778,0.000000,0.347998,-92.099900,0.252460,90.739365,-90.776730,-0.013555,-0.999825,-0.012904
977,proton,444.958046,0.000000,-0.163390,-92.099900,0.240631,89.539071,-89.822322,0.003101,-0.999963,0.008045
888,proton,445.008369,0.000000,-0.033646,-92.099900,0.109490,90.603770,-89.255819,0.012987,-0.999860,-0.010538
895,proton,441.414494,0.000000,0.622391,-92.099900,-0.179018,89.911770,-89.616119,0.006700,-0.999976,0.001540
1336,proton,444.867344,0.000000,-0.555359,-92.099900,-0.285039,88.557284,-90.511508,-0.008925,-0.999643,0.025177
1538,proton,440.556707,0.000000,0.638188,-92.099900,0.193459,90.888783,-90.618642,-0.010796,-0.999821,-0.015512
1601,proton,442.512786,0.000000,-0.577512,-92.099900,-0.237042,90.446585,-90.493182,-0.008607,-0.999933,-0.007794
1860,proton,445.899468,0.000000,0.275838,-92.099900,0.038553,93.023699,-90.849801,-0.014811,-0.998498,-0.052749
1974,proton,444.464755,0.000000,-0.097520,-92.099900,-0.024644,90.361364,-89.145774,0.014908,-0.999869,-0.006307
1785,proton,441.973614,0.000000,-0.101521,-92.099900,0.298912,90.027042,-89.928972,0.001240,-0.999999,-0.000472
1979,proton,441.851800,0.000000,0.554874,-92.099900,0.208229,89.665929,-89.446385,0.009662,-0.999936,0.005831
1983,proton,442.835166,0.000000,-0.714626,-92.099900,-0.215964,89.776333,-89.198764,0.013984,-0.999895,0.003904
2022,proton,443.960013,0.000000,-0.563492,-92.099900,-0.179577,90.365396,-89.983408,0.000290,-0.999980,-0.006377
2025,proton,445.721238,0.000000,0.072567,-92.099900,-0.285626,91.966643,-89.520724,0.008360,-0.999376,-0.034318
2439,proton,443.773823,0.000000,-0.732757,-92.099900,-0.302400,88.973912,-89.135921,0.015078,-0.999726,0.017908
2641,proton,444.349424,0.000000,0.215380,-92.099900,-0.062357,90.225054,-90.351834,-0.006141,-0.999973,-0.003928
2475,proton,443.059059,0.000000,-0.485904,-92.099900,-0.315321,88.308962,-90.968091,-0.016888,-0.999422,0.029510
2666,proton,443.010740,0.000000,-0.391310,-92.099900,0.091968,88.707287,-90.640872,-0.011182,-0.999683,0.022560
2592,proton,444.167194,0.000000,0.629493,-92.099900,-0.033125,89.236970,-89.247592,0.013130,-0.999825,0.013317
2694,proton,443.881374,0.000000,-0.356605,-92.099900,-0.245187,90.186914,-90.293168,-0.005117,-0.999982,-0.003262
2815,proton,441.464911,0.000000,-0.728920,-92.099900,-0.138433,90.636911,-89.586100,0.007223,-0.999912,-0.011116
3508,proton,446.059073,0.000000,-0.256103,-92.099900,-0.169725,88.525237,-90.573702,-0.010009,-0.999619,0.025737
3442,proton,444.668113,0.000000,0.215441,-92.099900,0.109355,89.327681,-89.663516,0.005872,-0.999914,0.011734
3703,proton,444.261168,0.000000,0.577794,-92.099900,0.236448,90.417396,-88.166812,0.031989,-0.999462,-0.007285
3755,proton,442.353801,0.000000,0.589461,-92.099900,0.062288,90.125189,-89.639265,0.006296,-0.999978,-0.002185
3872,proton,443.496891,0.000000,0.302709,-92.099900,-0.132417,91.563359,-91.041535,-0.018170,-0.999463,-0.027282
3973,proton,445.912253,0.000000,0.387988,-92.099900,0.303175,90.329550,-88.634946,0.023822,-0.999700,-0.005752
4008,proton,443.280185,0.000000,-0.095330,-92.099900,0.256075,89.581141,-89.006371,0.017341,-0.999823,0.007310
4115,proton,441.293998,0.000000,-0.571546,-92.099900,0.210035,91.657638,-90.568569,-0.009919,-0.999532,-0.028927
4122,proton,441.169384,0.000000,0.536051,-92.099900,-0.325100,88.644145,-89.226631,0.013494,-0.999629,0.023662
4209,proton,441.258873,0.000000,-0.122917,-92.099900,-0.133367,89.736857,-89.846163,0.002685,-0.999986,0.004593
4150,proton,441.528140,0.000000,0.402095,-92.099900,0.030921,90.320061,-89.054970,0.016493,-0.999848,-0.005586
4077,proton,443.225371,0.000000,0.326390,-92.099900,-0.231170,90.908247,-90.024199,-0.000422,-0.999874,-0.015851
4097,proton,443.804636,0.000000,-0.610718,-92.099900,-0.021522,88.443278,-90.155316,-0.002710,-0.999627,0.027167
4375,proton,442.862351,0.000000,-0.673998,-92.099900,-0.242801,89.659857,-90.676154,-0.011801,-0.999913,0.005937
4503,proton,442.932325,0.000000,-0.330856,-92.099900,-0.053437,90.227481,-89.993368,0.000116,-0.999992,-0.003970
4514,proton,447.322620,0.000000,0.613875,-92.099900,-0.190638,90.106615,-89.645480,0.006187,-0.999979,-0.001861
4701,proton,443.241545,0.000000,0.349024,-92.099900,-0.163074,90.586806,-90.594409,-0.010374,-0.999894,-0.010242
4560,proton,444.407044,0.000000,0.189507,-92.099900,-0.006225,89.495967,-89.911451,0.001545,-0.999960,0.008797
4666,proton,444.472200,0.000000,0.255120,-92.099900,-0.334435,89.382124,-90.915156,-0.015971,-0.999814,0.010784
4753,proton,442.558193,0.000000,0.530312,-92.099900,0.067930,89.800240,-89.404243,0.010398,-0.999940,0.003486
4583,proton,442.727742,0.000000,0.007043,-92.099900,-0.253686,88.683227,-88.798897,0.020956,-0.999516,0.022980
4669,proton,442.251528,0.000000,0.024195,-92.099900,-0.204492,90.810662,-89.910590,0.001560,-0.999899,-0.014148
4786,proton,446.449124,0.000000,0.426996,-92.099900,-0.325482,89.811216,-89.737662,0.004579,-0.999984,0.003295
4841,proton,445.309778,0.000000,-0.108508,-92.099900,0.204096,89.874326,-89.261435,0.012890,-0.999915,0.002193
5029,proton,443.336036,0.000000,0.066306,-92.099900,-0.255551,90.246030,-91.620313,-0.028276,-0.999591,-0.004294
4859,proton,444.530156,0.000000,-0.467475,-92.099900,0.064081,89.318887,-91.272170,-0.022200,-0.999683,0.011887
4967,proton,442.572383,0.000000,0.423051,-92.099900,0.071395,90.670410,-91.928868,-0.033656,-0.999365,-0.011701
5159,proton,441.036844,0.000000,0.544774,-92.099900,-0.236682,90.865534,-90.618673,-0.010796,-0.999828,-0.015106
5546,proton,441.768808,0.000000,0.055582,-92.099900,0.005536,90.828430,-90.258116,-0.004504,-0.999885,-0.014458
5384,proton,444.359507,0.000000,0.207681,-92.099900,-0.132763,89.536865,-89.148475,0.014861,-0.999857,0.008083
5579,proton,443.871898,0.000000,0.053410,-92.099900,-0.140443,90.257915,-90.844710,-0.014742,-0.999881,-0.004501
5594,proton,443.593718,0.000000,0.205821,-92.099900,-0.295484,89.560262,-89.765362,0.004095,-0.999962,0.007675
5815,proton,444.378092,0.000000,-0.321951,-92.099900,-0.063593,89.903272,-89.986105,0.000243,-0.999999,0.001688
5930,proton,439.993137,0.000000,-0.591156,-92.099900,0.270710,90.459019,-88.714550,0.022433,-0.999716,-0.008011
5949,proton,439.714792,0.000000,-0.145756,-92.099900,0.182021,90.896901,-90.042535,-0.000742,-0.999877,-0.015653
5953,proton,444.750576,0.000000,0.354696,-92.099900,0.047231,89.642215,-89.734306,0.004637,-0.999970,0.006244
5879,proton,443.650554,0.000000,0.530924,-92.099900,-0.212685,90.340394,-89.926621,0.001281,-0.999982,-0.005941
5974,proton,442.679484,0.000000,0.108080,-92.099900,0.101945,90.819850,-90.527743,-0.009210,-0.999855,-0.014309
6040,proton,443.268205,0.000000,0.498517,-92.099900,-0.277490,90.018544,-91.078462,-0.018822,-0.999823,-0.000324
6245,proton,445.686677,0.000000,-0.575501,-92.099900,-0.326775,89.165665,-90.631249,-0.011016,-0.999833,0.014561
6368,proton,442.989469,0.000000,0.426743,-92.099900,0.085700,89.955843,-90.299225,-0.005222,-0.999986,0.000771
6371,proton,443.829138,0.000000,0.348637,-92.099900,-0.142579,90.978148,-90.272758,-0.004760,-0.999843,-0.017071
6602,proton,441.579403,0.000000,0.519979,-92.099900,-0.246032,89.807450,-89.257045,0.012967,-0.999910,0.003361
6465,proton,443.035595,0.000000,0.402895,-92.099900,-0.000904,88.581046,-90.073627,-0.001285,-0.999693,0.024763
6553,proton,447.215526,0.000000,0.578578,-92.099900,-0.004324,89.322129,-89.196839,0.014016,-0.999832,0.011831
6653,proton,445.120980,0.000000,-0.337602,-92.099900,-0.003840,89.863435,-89.995419,0.000080,-0.999997,0.002384
6479,proton,446.591603,0.000000,0.320008,-92.099900,0.297486,89.085577,-89.928169,0.001254,-0.999872,0.015959
6487,proton,446.507689,0.000000,-0.029739,-92.099900,0.184455,89.759370,-90.228399,-0.003986,-0.999983,0.004200
6765,proton,445.465409,0.000000,-0.513824,-92.099900,-0.235911,89.050660,-89.087688,0.015920,-0.999736,0.016568
6829,proton,443.789629,0.000000,-0.320020,-92.099900,-0.041115,90.693195,-90.173664,-0.003031,-0.999922,-0.012098
6915,proton,441.793586,0.000000,-0.474687,-92.099900,0.163397,89.086903,-92.833005,-0.049419,-0.998651,0.015936
7046,proton,439.553424,0.000000,0.733943,-92.099900,-0.316866,90.416180,-89.349397,0.011355,-0.999909,-0.007264
7533,e-,0.058340,0.000000,-0.667968,-92.100100,-0.313391,82.535444,102.361525,-0.212265,0.968538,0.129913
7563,proton,444.545256,0.000000,-0.486142,-92.099900,-0.314898,89.954561,-89.501448,0.008701,-0.999962,0.000793
