EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
204,1,0,mu-,286.583341,-0.562668,-92.099900,-0.030628,90.715662,-89.724940,0.004800,-0.999910,-0.012490,659.314139,0.000000
317,1,0,mu-,292.541529,-0.526339,-92.099900,-0.235962,91.581244,-90.720845,-0.012576,-0.999540,-0.027594,659.099864,0.000000
158,1,0,mu-,290.425715,-0.425870,-92.099900,0.310577,90.111522,-88.667080,0.023262,-0.999728,-0.001946,659.101116,0.000000
294,1,0,mu-,289.480033,-0.333251,-92.099900,-0.188822,91.883508,-88.762610,0.021583,-0.999227,-0.032867,659.340585,0.000000
199,1,0,mu-,289.180060,-0.091334,-92.099900,-0.104927,89.720211,-89.190013,0.014136,-0.999888,0.004883,659.098816,0.000000
199,1873,1,e-,0.851913,-0.532690,-92.099900,-0.129436,66.148408,-88.420836,0.025205,-0.914249,0.404369,659.628027,0.529211
703,1,0,mu-,291.876745,0.348354,-92.099900,-0.027536,90.018121,-91.816135,-0.031692,-0.999498,-0.000316,659.224290,0.000000
537,1770,1,e-,1.041983,0.495268,-92.099900,0.295584,53.490293,-132.276703,-0.540696,-0.594703,0.594959,668.403452,0.000000
544,1,0,mu-,286.201821,0.716127,-92.099900,0.060694,88.421018,-89.455343,0.009502,-0.999575,0.027555,659.448048,0.000000
555,1,0,mu-,291.520200,0.274081,-92.099900,-0.270865,91.332208,-90.496197,-0.008658,-0.999692,-0.023249,659.244751,0.000000
757,1,0,mu-,292.244907,-0.147314,-92.099900,0.072469,92.175557,-91.240229,-0.021629,-0.999045,-0.037962,659.127946,0.000000
814,1,0,mu-,290.125045,-0.373869,-92.099900,-0.221052,85.227198,-94.076461,-0.070841,-0.994011,0.083205,659.213844,0.000000
835,1,0,mu-,287.133091,-0.621041,-92.099900,0.134893,91.282477,-90.683749,-0.011930,-0.999678,-0.022382,659.356919,0.000000
869,1,0,mu-,285.546219,-0.071954,-92.099900,0.094332,89.655415,-89.437146,0.009823,-0.999934,0.006014,659.677327,0.000000
1217,1,0,mu-,281.902600,-0.529899,-92.099900,0.159737,91.675533,-90.276793,-0.004829,-0.999561,-0.029239,659.813913,0.000000
1355,1,0,mu-,291.375976,-0.221821,-92.099900,-0.064973,91.376216,-88.838625,0.020263,-0.999506,-0.024017,659.238839,0.000000
1589,1,0,mu-,288.126456,-0.371860,-92.099900,-0.323135,88.032032,-88.121073,0.032768,-0.998873,0.034341,659.275529,0.000000
1594,1,0,mu-,290.681707,0.113361,-92.099900,0.093544,88.902616,-90.469651,-0.008195,-0.999783,0.019152,659.101869,0.000000
1955,1,0,mu-,293.250472,0.646437,-92.099900,0.147079,88.275903,-89.609871,0.006806,-0.999524,0.030087,659.182096,0.000000
