EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
357,1,0,neutron,3249.552224,-0.464800,-92.099900,-0.253724,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
130,1,0,neutron,3249.552224,-0.068301,-92.099900,-0.182188,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
400,1,0,neutron,3249.552224,-0.429307,-92.099900,-0.163419,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
462,1,0,neutron,3249.552224,-0.025417,-92.099900,-0.117645,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
650,1,0,neutron,3249.548739,-0.105244,-92.099900,-0.214982,90.097103,-90.104959,-0.001832,-0.999997,-0.001695,654.106714,0.000000
705,1,0,neutron,3249.552224,0.241812,-92.099900,-0.071155,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
673,1,0,neutron,3249.552224,-0.577755,-92.099900,-0.162876,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
721,1,0,neutron,3249.552224,-0.636587,-92.099900,-0.058632,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
912,1,0,neutron,3249.523080,-0.660466,-92.099900,0.049355,89.748457,-90.294020,-0.005132,-0.999977,0.004390,654.114011,0.000000
940,1,0,neutron,3249.552224,-0.115255,-92.099900,0.163003,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
862,1,0,neutron,3249.552224,-0.748746,-92.099900,0.089783,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
888,1,0,neutron,3249.552224,-0.243230,-92.099900,0.003695,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
1212,1,0,neutron,3249.552224,0.216968,-92.099900,0.206688,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
1214,1,0,neutron,3249.527912,-0.471232,-92.099900,-0.142436,90.067018,-89.653004,0.006056,-0.999981,-0.001170,654.108292,0.000000
1039,1,0,neutron,3249.552224,0.289194,-92.099900,0.046898,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
1408,1,0,neutron,3249.552224,0.268789,-92.099900,0.288615,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
1088,1,0,neutron,3249.552224,0.448540,-92.099900,-0.092099,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
1089,3,1,proton,928.592105,0.477748,-92.099900,0.191752,89.837085,-89.117581,0.015400,-0.999877,0.002843,693.226591,0.000000
1630,1,0,neutron,3249.552224,-0.119522,-92.099900,0.101120,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
1637,1,0,neutron,3249.552224,0.270024,-92.099900,0.197579,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
1469,1,0,neutron,3249.156565,-0.013269,-92.099900,0.170478,90.620813,-88.716428,0.022399,-0.999690,-0.010835,654.218997,0.000000
1832,1,0,neutron,3249.552224,0.558922,-92.099900,0.241439,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
1579,3,1,neutron,1021.940957,-0.234951,-92.099900,0.030194,86.496895,-89.196691,0.013994,-0.998033,0.061103,676.159453,0.000000
2029,1,0,neutron,3249.552224,0.253832,-92.099900,-0.251401,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
1878,1,0,neutron,3249.552224,-0.617475,-92.099900,0.155361,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
2112,1,0,neutron,3249.552224,-0.069568,-92.099900,-0.343100,90.000000,-90.000000,0.000000,-1.000000,0.000000,654.105229,0.000000
