EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
122,1,0,proton,1530.316605,0.004422,-92.099900,-0.143644,89.570396,-90.188411,-0.003288,-0.999966,0.007498,688.246387,0.000000
368,1,0,proton,1528.288476,-0.666699,-92.099900,0.091178,90.097589,-90.178155,-0.003109,-0.999994,-0.001703,688.225331,0.000000
272,1,0,proton,1528.385296,0.260174,-92.099900,0.127876,89.967905,-90.023654,-0.000413,-1.000000,0.000560,688.311592,0.000000
90,2245,1954,e-,0.612791,-0.332999,-92.099900,0.098193,124.443139,-152.448237,-0.731163,-0.381459,-0.565588,691.353055,0.000000
411,1,0,proton,1529.325191,0.434612,-92.099900,0.325191,90.021645,-89.644505,0.006205,-0.999981,-0.000378,688.281826,0.000000
529,1,0,proton,1530.356991,0.122438,-92.099900,0.138400,90.532003,-89.728082,0.004746,-0.999946,-0.009285,688.254259,0.000000
670,1,0,proton,1529.150446,-0.012385,-92.099900,-0.058125,90.513630,-90.134470,-0.002347,-0.999957,-0.008964,688.214658,0.000000
787,1,0,proton,1526.317704,0.196126,-92.099900,-0.034085,89.822394,-90.699740,-0.012212,-0.999921,0.003100,688.368791,0.000000
919,1,0,proton,1520.569082,-0.221671,-92.099900,0.329298,89.689381,-90.439215,-0.007666,-0.999956,0.005421,688.435804,0.000000
919,2041,1,e-,3.755797,-0.210686,-92.099900,-0.157126,91.775761,-94.265223,-0.074338,-0.996752,-0.030988,687.633515,-0.802289
925,1,0,proton,1527.226694,0.315863,-92.099900,0.231363,89.243040,-90.854302,-0.014909,-0.999802,0.013211,688.330630,0.000000
1031,1,0,proton,1530.042642,0.187314,-92.099900,0.178420,87.606127,-92.755951,-0.048040,-0.997972,0.041769,688.609019,0.000000
1136,1,0,proton,1527.423422,-0.749308,-92.099900,-0.338790,89.587077,-89.475100,0.009161,-0.999932,0.007207,688.380132,0.000000
846,1,0,proton,1529.144113,0.182045,-92.099900,0.297724,89.857504,-90.107002,-0.001868,-0.999995,0.002487,688.294330,0.000000
1164,1,0,proton,1526.981306,-0.660586,-92.099900,-0.064957,89.940480,-89.643204,0.006227,-0.999980,0.001039,688.299794,0.000000
978,1,0,proton,1527.064335,-0.552509,-92.099900,-0.086469,90.187695,-89.809205,0.003330,-0.999989,-0.003276,688.315690,0.000000
1358,1,0,proton,1527.874685,-0.641513,-92.099900,0.344250,90.427536,-89.643864,0.006216,-0.999953,-0.007462,688.320786,0.000000
1554,1,0,proton,1528.510961,-0.412593,-92.099900,0.022781,90.089177,-90.259715,-0.004533,-0.999989,-0.001556,688.232552,0.000000
1271,1,0,proton,1532.756291,0.014734,-92.099900,-0.295308,89.657071,-89.838513,0.002818,-0.999978,0.005985,688.181823,0.000000
1918,1,0,proton,1529.630450,-0.620003,-92.099900,0.077287,90.214152,-89.824501,0.003063,-0.999988,-0.003738,688.234140,0.000000
1747,1,0,proton,1525.078950,-0.269323,-92.099900,-0.204639,90.071465,-90.205903,-0.003594,-0.999993,-0.001247,688.365671,0.000000
1662,1,0,proton,1529.274518,-0.242635,-92.099900,0.040189,89.877777,-90.183518,-0.003203,-0.999993,0.002133,688.236119,0.000000
1870,1,0,proton,1527.540032,-0.151957,-92.099900,-0.309618,89.801918,-89.754242,0.004289,-0.999985,0.003457,688.344207,0.000000
1991,1,0,proton,1532.727014,-0.746840,-92.099900,-0.041998,90.191113,-90.014173,-0.000247,-0.999994,-0.003336,688.184210,0.000000
2011,1,0,proton,1528.531232,0.303652,-92.099900,0.050952,89.586050,-89.896112,0.001813,-0.999972,0.007225,688.323451,0.000000
2133,1,0,proton,1526.436926,0.045141,-92.099900,-0.094478,89.950042,-90.084273,-0.001471,-0.999999,0.000872,688.291621,0.000000
2248,1,0,proton,1526.391777,-0.420038,-92.099900,0.065056,90.007257,-89.385828,0.010719,-0.999943,-0.000127,688.360811,0.000000
