EventID,ParticleName,Initial_Energy_MeV,Total_Energy_Deposit_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
0,proton,29950.292359,96.889328,1.648843,-92.000000,-1.060641,90.025069,-89.989631,0.000181,-1.000000,-0.000438
2,proton,29946.506187,408.913852,1.372662,-92.000000,1.252299,89.991653,-90.007435,-0.000130,-1.000000,0.000146
1,proton,29947.341418,347.982827,2.635288,-92.000000,1.582996,90.002403,-90.017590,-0.000307,-1.000000,-0.000042
4,proton,29935.197265,560.828276,2.749926,-92.000000,1.554305,89.997321,-89.991585,0.000147,-1.000000,0.000047
8,proton,29948.367218,90.039812,-0.824661,-92.000000,-0.599718,90.026803,-89.999047,0.000017,-1.000000,-0.000468
5,proton,29951.122421,92.384425,-0.665213,-92.000000,2.854126,89.994815,-90.014115,-0.000246,-1.000000,0.000091
9,proton,29869.442969,87.662169,2.862687,-92.000000,-2.391924,90.019437,-89.995594,0.000077,-1.000000,-0.000339
3,gamma,1727.606857,906.518315,-0.250609,-92.000000,-1.480541,95.235339,-91.747851,-0.030374,-0.995365,-0.091247
7,proton,29894.921191,1818.958524,-0.149264,-92.000000,2.649500,89.979183,-90.021678,-0.000378,-1.000000,0.000363
EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
102,1,0,mu-,911.576018,-0.629571,-92.099900,0.076462,89.411138,-90.070752,-0.001235,-0.999946,0.010277,640.346848,0.000000
235,1,0,mu-,912.769890,0.690962,-92.099900,-0.019168,90.828250,-89.101525,0.015679,-0.999773,-0.014455,640.311163,0.000000
340,1,0,mu-,923.460302,0.684207,-92.099900,0.322643,91.440440,-91.741488,-0.030380,-0.999222,-0.025138,640.308740,0.000000
365,2035,1834,gamma,5.329412,-0.687386,-92.099900,-0.029119,105.542870,-86.397082,0.060543,-0.961526,-0.267959,640.680250,0.000000
167,1,0,mu-,884.751042,-0.374557,-92.099900,0.187275,89.453161,-90.237750,-0.004149,-0.999946,0.009544,640.334328,0.000000
167,2002,1824,gamma,8.278759,-0.050965,-92.099900,-0.338042,98.974282,-84.405135,0.096300,-0.983053,-0.155991,640.454870,0.120542
167,2001,1824,gamma,0.106060,-0.509201,-92.099900,0.284624,87.781980,-92.720796,-0.047433,-0.998124,0.038702,640.293454,-0.040874
167,1999,1824,gamma,1.177780,-0.606685,-92.099900,0.037812,92.246909,-94.492945,-0.078276,-0.996161,-0.039206,640.314137,-0.020191
286,1795,1,e-,0.937836,0.350085,-92.099900,-0.240715,55.390807,-12.425266,0.803767,-0.177091,0.567976,642.211631,0.000000
297,1,0,mu-,924.397523,-0.556318,-92.099900,-0.317129,90.976318,-89.641203,0.006261,-0.999835,-0.017039,640.308587,0.000000
