EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
0,2078,1743,gamma,5.007590,-0.643342,-92.099900,0.302907,89.603718,-62.170332,0.466833,-0.884318,0.006916,639.151598,0.000000
118,1,0,mu-,3125.544331,0.588294,-92.099900,-0.156079,89.952979,-90.645521,-0.011266,-0.999936,0.000821,637.762436,0.000000
243,3016,3013,gamma,0.206004,-0.065608,-92.099900,-0.054565,130.653412,-101.983082,-0.157516,-0.742132,-0.651482,641.573492,0.000000
250,2186,1792,gamma,0.336527,-0.455605,-92.099900,-0.055362,74.242001,-121.340294,-0.500572,-0.821994,0.271575,640.063428,0.000000
352,1,0,mu-,3021.048214,0.289823,-92.099900,-0.197569,89.701405,-89.942828,0.000998,-0.999986,0.005211,637.770318,0.000000
52,1,0,mu-,3102.875276,0.385824,-92.099900,0.189352,90.402362,-90.147157,-0.002568,-0.999972,-0.007022,637.762614,0.000000
66,1,0,mu-,3123.996722,-0.289041,-92.099900,0.112637,90.141677,-90.384693,-0.006714,-0.999974,-0.002473,637.765594,0.000000
374,1923,1920,e-,1.841104,-0.665580,-92.099900,-0.131327,58.565960,-104.019408,-0.206698,-0.827826,0.521517,638.140273,0.000000
374,2361,2144,gamma,0.341894,-0.338452,-92.099900,0.268689,81.324220,-158.316081,-0.918604,-0.365258,0.150843,639.681426,1.541153
81,2321,1611,gamma,0.086587,-0.458080,-92.100100,0.240482,137.154208,140.216632,-0.522580,0.435141,-0.733187,687.784649,0.000000
513,1,0,mu-,3076.659501,-0.273358,-92.099900,-0.091187,89.760934,-90.138557,-0.002418,-0.999988,0.004172,637.762160,0.000000
522,1928,1739,gamma,0.043583,0.137516,-92.099900,0.193092,127.653613,-52.364297,0.483454,-0.626969,-0.610886,644.027448,0.000000
730,1,0,mu-,3116.062665,-0.717755,-92.099900,-0.300028,89.932829,-90.776659,-0.013555,-0.999907,0.001172,637.765598,0.000000
640,1894,1763,gamma,1.223674,0.721515,-92.099900,0.086565,78.348003,-85.478825,0.077203,-0.976345,0.201967,638.016849,0.000000
749,1795,1790,gamma,0.609001,0.102718,-92.099900,0.345328,135.347544,-101.618428,-0.141540,-0.688405,-0.711383,640.479661,0.000000
566,1,0,mu-,3123.165394,0.676963,-92.099900,0.345909,90.723117,-89.474933,0.009163,-0.999878,-0.012620,637.766033,0.000000
691,1,0,mu-,3131.012497,-0.245105,-92.099900,0.136088,89.780390,-89.960016,0.000698,-0.999992,0.003833,637.764942,0.000000
1013,1785,993,gamma,1.031279,-0.463663,-92.099900,-0.249045,78.380976,-106.053421,-0.270867,-0.941312,0.201403,638.553956,0.000000
1140,1938,1769,gamma,5.230101,-0.320463,-92.099900,-0.201764,100.245324,-85.540201,0.076520,-0.981076,-0.177863,637.969180,0.000000
992,1,0,mu-,3118.767263,-0.048328,-92.099900,-0.042261,89.990525,-89.805542,0.003394,-0.999994,0.000165,637.764517,0.000000
1191,1,0,mu-,3114.055719,-0.584787,-92.099900,0.333601,89.670750,-89.650925,0.006092,-0.999965,0.005746,637.766412,0.000000
1211,1782,1,e-,5.733015,-0.369001,-92.099900,-0.083559,55.358270,-112.041125,-0.308745,-0.762594,0.568443,641.167670,0.000000
1329,1,0,mu-,3120.158440,0.279484,-92.099900,-0.029262,90.116707,-90.095810,-0.001672,-0.999997,-0.002037,637.764277,0.000000
1524,2012,1769,gamma,10.705675,-0.017948,-92.099900,-0.172633,83.165620,-100.975553,-0.189037,-0.974733,0.119000,638.044857,0.000000
1439,1942,1748,gamma,0.166823,0.585834,-92.099900,0.166304,80.414565,-135.737826,-0.706155,-0.688198,0.166518,642.543108,0.000000
1344,1,0,mu-,3130.784418,0.038681,-92.099900,-0.255720,89.081025,-89.866301,0.002333,-0.999869,0.016038,637.764096,0.000000
1356,1,0,mu-,3087.853327,-0.651947,-92.099900,0.122377,90.393025,-90.234666,-0.004096,-0.999968,-0.006860,637.768137,0.000000
1555,1,0,mu-,3031.952616,0.332471,-92.099900,0.052249,90.125008,-89.486249,0.008966,-0.999957,-0.002182,637.770137,0.000000
1555,1816,1717,gamma,4.712989,-0.226211,-92.099900,-0.248850,95.323502,-99.201181,-0.159212,-0.982875,-0.092779,637.953187,0.183050
1364,1,0,mu-,3129.861137,0.182019,-92.099900,-0.254041,90.191973,-89.791483,0.003639,-0.999988,-0.003351,637.762139,0.000000
1558,1,0,mu-,3110.073202,0.297738,-92.099900,0.067427,89.746979,-89.650666,0.006097,-0.999972,0.004416,637.762688,0.000000
1496,1,0,mu-,3116.259749,0.250412,-92.099900,-0.316072,89.968360,-89.761071,0.004170,-0.999991,0.000552,637.764253,0.000000
1497,1,0,mu-,3128.091074,0.189582,-92.099900,0.210982,90.704491,-90.416690,-0.007272,-0.999898,-0.012295,637.764692,0.000000
1594,1,0,mu-,3107.373268,-0.743420,-92.099900,0.058642,89.688132,-89.566978,0.007557,-0.999957,0.005443,637.763540,0.000000
1814,1,0,mu-,3126.429154,-0.511818,-92.099900,0.053244,90.861896,-90.893974,-0.015600,-0.999765,-0.015042,637.773872,0.000000
1624,1,0,mu-,3096.953761,0.623364,-92.099900,0.038997,89.946224,-90.191354,-0.003340,-0.999994,0.000939,637.764744,0.000000
1727,1931,1821,gamma,0.250607,0.589667,-92.099900,-0.281090,54.722537,-103.745440,-0.193975,-0.792985,0.577537,640.593303,0.000000
1728,1,0,mu-,3129.476081,-0.521628,-92.099900,0.213445,89.921104,-89.968786,0.000545,-0.999999,0.001377,637.772064,0.000000
1729,1,0,mu-,3118.890512,-0.370695,-92.099900,-0.152974,89.932100,-90.102606,-0.001791,-0.999998,0.001185,637.764085,0.000000
1636,1872,1,e-,0.406141,0.036592,-92.100100,-0.038468,105.848504,144.992450,-0.787941,0.551877,-0.273095,644.013423,0.000000
1739,1,0,mu-,3119.221316,-0.472076,-92.099900,-0.168118,90.481487,-90.325865,-0.005687,-0.999949,-0.008403,637.762806,0.000000
1750,1,0,mu-,3102.525237,-0.720011,-92.099900,-0.174708,89.669472,-89.553282,0.007796,-0.999953,0.005769,637.766137,0.000000
1946,1,0,mu-,3121.719033,-0.225819,-92.099900,-0.003894,89.647120,-89.884036,0.002024,-0.999979,0.006159,637.764545,0.000000
1946,2056,1771,gamma,0.049731,0.240349,-92.099900,-0.025903,90.036322,-81.437031,0.148896,-0.988853,-0.000634,637.877446,0.112901
1663,2267,1854,e-,6.898523,0.608579,-92.099900,0.314290,95.697125,-120.898001,-0.510975,-0.853844,-0.099270,639.373394,0.000000
