EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
300,9,1,neutron,4.148125,0.127448,-92.099900,-0.328706,103.612813,-47.123476,0.661307,-0.712236,-0.235359,927.531184,0.000000
210,1,0,neutron,683.990379,0.735175,-92.099900,0.152263,90.000000,-90.000000,0.000000,-1.000000,0.000000,781.623127,0.000000
223,266,237,neutron,3.456350,0.142808,-92.099900,0.068387,113.667848,-63.979733,0.401790,-0.823053,-0.401434,926.987401,0.000000
352,1819,3,gamma,1.453323,-0.010656,-92.099900,-0.053232,134.830866,-92.785831,-0.034469,-0.708353,-0.705016,783.624660,0.000000
352,1824,1820,gamma,0.540740,0.437592,-92.099900,0.076395,132.675576,-83.648731,0.081331,-0.730691,-0.677846,783.491000,-0.133660
290,2,1,proton,180.215650,0.718835,-92.099900,0.318049,61.336485,-77.029951,0.196937,-0.855066,0.479665,791.620370,0.000000
382,96,88,gamma,0.143475,-0.506318,-92.099900,-0.318469,129.463406,-131.349247,-0.510040,-0.579561,-0.635585,789.590125,0.000000
198,103,83,gamma,0.502232,-0.265192,-92.099900,-0.112635,76.133798,-77.614607,0.208236,-0.948263,0.239655,790.512955,0.000000
75,36,4,neutron,0.000077,-0.222271,-92.099900,0.160178,91.722352,-53.928857,0.588523,-0.807921,-0.030056,33917.162326,0.000000
96,1,0,neutron,683.990379,0.635494,-92.099900,-0.283746,90.000000,-90.000000,0.000000,-1.000000,0.000000,781.623127,0.000000
612,3,1,neutron,211.418660,0.030667,-92.099900,-0.240209,65.975514,-103.192878,-0.208459,-0.889265,0.407127,789.101074,0.000000
703,3,1,neutron,143.081602,0.253398,-92.099900,-0.086108,65.407254,-84.565276,0.086120,-0.905201,0.416166,793.039305,0.000000
472,1,0,neutron,683.990379,0.412563,-92.099900,-0.267932,90.000000,-90.000000,0.000000,-1.000000,0.000000,781.623127,0.000000
478,208,3,proton,47.125253,0.626815,-92.099900,0.317671,134.759308,-95.364046,-0.066380,-0.706961,-0.704130,807.347054,0.000000
483,84,5,gamma,0.116069,-0.313261,-92.099900,-0.134673,123.055151,-102.008552,-0.174383,-0.819804,-0.545446,782.280734,0.000000
585,1,0,neutron,683.801559,-0.601468,-92.099900,0.288332,85.797796,-89.118038,0.015351,-0.997194,0.073277,781.662954,0.000000
786,2,1,proton,552.386613,0.435785,-92.099900,0.023809,74.212440,-101.561308,-0.192856,-0.942753,0.272071,783.066633,0.000000
673,146,3,neutron,16.184366,0.394180,-92.099900,-0.116216,96.871192,-106.224092,-0.277388,-0.953280,-0.119638,828.577364,0.000000
837,1,0,neutron,683.990379,0.401902,-92.099900,-0.346289,90.000000,-90.000000,0.000000,-1.000000,0.000000,781.623127,0.000000
841,1,0,neutron,683.990379,0.029362,-92.099900,-0.326795,90.000000,-90.000000,0.000000,-1.000000,0.000000,781.623127,0.000000
867,1,0,neutron,683.990379,0.108798,-92.099900,-0.188852,90.000000,-90.000000,0.000000,-1.000000,0.000000,781.623127,0.000000
890,222,221,gamma,0.238868,-0.624371,-92.099900,0.287586,101.204912,-68.284050,0.362953,-0.911321,-0.194318,783.915595,0.000000
972,5,1,neutron,184.666861,0.521606,-92.099900,0.329157,86.889610,-97.460838,-0.129657,-0.990073,0.054260,788.334628,0.000000
1047,2,1,neutron,649.094693,0.153526,-92.099900,0.200910,87.271993,-77.707809,0.212656,-0.975967,0.047595,782.113030,0.000000
985,87,72,gamma,0.101952,-0.001228,-92.099900,0.317482,100.629301,-84.541294,0.093496,-0.978384,-0.184454,780.900941,0.000000
985,246,211,e-,1.093134,0.667001,-92.099900,-0.111057,132.612667,-110.785859,-0.261170,-0.688047,-0.677039,781.168951,0.268010
987,1,0,neutron,683.990379,0.170326,-92.099900,0.176215,90.000000,-90.000000,0.000000,-1.000000,0.000000,781.623127,0.000000
988,73,12,gamma,0.097382,0.389026,-92.099900,0.306437,97.017340,-59.101750,0.509668,-0.851653,-0.122170,781.247662,0.000000
996,1,0,neutron,683.887158,-0.539843,-92.099900,0.034576,91.652253,-91.740750,-0.030365,-0.999123,-0.028833,781.634761,0.000000
1248,41,38,gamma,1.427805,-0.106941,-92.099900,0.017555,57.866170,-105.743813,-0.229770,-0.815040,0.531899,781.665318,0.000000
1248,372,2,gamma,1.419333,0.476025,-92.099900,0.004514,56.050715,-95.475671,-0.079157,-0.825747,0.558459,781.517540,-0.147778
1403,3,1,neutron,36.874987,-0.721593,-92.099900,-0.223771,64.967513,-66.338565,0.363634,-0.829898,0.423132,815.769431,0.000000
1161,1,0,neutron,683.990379,0.524616,-92.099900,0.122083,90.000000,-90.000000,0.000000,-1.000000,0.000000,781.623127,0.000000
1266,2,1,proton,434.380936,0.022243,-92.099900,-0.256185,104.742275,-93.329833,-0.056172,-0.965448,-0.254472,783.727079,0.000000
1447,31,30,e-,105.960418,-0.155454,-92.099900,-0.096869,118.877536,-57.311111,0.472921,-0.736964,-0.482939,782.886087,0.000000
1447,178,31,gamma,13.926802,-0.078894,-92.099900,-0.038310,116.340426,-55.844596,0.503147,-0.741600,-0.443704,782.921430,0.035343
1448,44,6,gamma,6.327212,-0.562793,-92.099900,0.241141,77.723212,-54.962763,0.560980,-0.800055,0.212635,781.969889,0.000000
1296,48,4,neutron,6.323582,-0.203923,-92.099900,0.316522,96.915719,-115.660429,-0.429886,-0.894818,-0.120409,871.441971,0.000000
1510,96,71,gamma,1.361854,0.624806,-92.099900,0.115175,73.922193,-92.082848,-0.034923,-0.960252,0.276942,780.826056,0.000000
1510,202,184,gamma,0.118402,-0.718572,-92.099900,-0.154860,82.078405,-120.566692,-0.503688,-0.852821,0.137818,781.815050,0.988995
1298,1,0,neutron,683.990379,-0.190426,-92.099900,0.272365,90.000000,-90.000000,0.000000,-1.000000,0.000000,781.623127,0.000000
1623,126,124,gamma,5.405966,-0.324276,-92.099900,-0.062646,54.471904,-130.677695,-0.530457,-0.617200,0.581102,1311.985071,0.000000
1495,29,16,gamma,0.173508,-0.235069,-92.099900,0.248665,134.212812,-85.755399,0.053050,-0.714789,-0.697325,784.214745,0.000000
1635,173,134,gamma,0.646107,-0.562556,-92.099900,0.301719,99.631813,-111.977766,-0.368971,-0.914257,-0.167316,788.447436,0.000000
