EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
106,2438,2347,gamma,0.679002,-0.204662,-92.099900,-0.314309,94.530782,-89.792550,0.003609,-0.996869,-0.078995,738.770409,0.000000
311,2455,2378,neutron,28.321900,-0.193501,-92.099900,0.256535,67.870843,-39.909445,0.710556,-0.594316,0.376696,804.389535,0.000000
121,2513,2344,neutron,17.955742,-0.071325,-92.099900,-0.301394,107.161639,-78.013541,0.198434,-0.934644,-0.295068,786.610111,0.000000
322,2365,2336,neutron,258.622753,-0.246642,-92.099900,0.305101,128.379614,-98.293167,-0.113070,-0.775717,-0.620869,749.203505,0.000000
125,2561,2344,proton,42.494197,-0.448346,-92.099900,0.079547,56.449621,-42.194546,0.617440,-0.559753,0.552670,789.044210,0.000000
26,2442,2408,gamma,1.577025,-0.643051,-92.099900,0.337336,127.280603,-67.799018,0.300652,-0.736690,-0.605719,741.657973,0.000000
233,2458,2442,gamma,0.330666,-0.122102,-92.099900,-0.069036,136.685456,-83.702631,0.075247,-0.681864,-0.727599,4157.494391,0.000000
141,2423,1,proton,452.036800,0.717865,-92.099900,-0.013994,102.915790,-82.020251,0.135311,-0.965262,-0.223519,742.064632,0.000000
344,2398,1,proton,692.887145,-0.645217,-92.099900,0.186960,107.061082,-77.873393,0.200828,-0.934660,-0.293391,741.394106,0.000000
144,2388,2352,proton,394.968008,-0.612293,-92.099900,0.222476,121.818507,-83.299284,0.099148,-0.843918,-0.527230,744.906711,0.000000
370,2484,2335,neutron,110.788165,0.287905,-92.099900,-0.207326,69.114334,-76.954459,0.210894,-0.910180,0.356504,753.933011,0.000000
375,1,0,proton,756.696046,-0.742017,-92.099900,-0.262812,89.370543,-88.969729,0.017980,-0.999778,0.010986,740.078442,0.000000
504,2378,2292,gamma,1.140099,-0.545797,-92.099900,-0.309138,93.740056,-83.718204,0.109185,-0.991879,-0.065230,738.202430,0.000000
702,2316,2315,e-,36.356296,0.320078,-92.099900,-0.312934,83.560876,-106.031843,-0.274429,-0.955045,0.112147,738.240237,0.000000
702,2384,2316,gamma,0.082293,0.206072,-92.099900,-0.329170,84.412847,-108.785897,-0.320503,-0.942231,0.097360,738.348948,0.108711
702,2383,2316,gamma,0.026870,0.332342,-92.099900,-0.111991,80.573972,-106.670123,-0.282988,-0.945038,0.163774,738.316411,0.076174
702,2382,2316,gamma,0.831035,0.592917,-92.099900,-0.093244,80.059226,-102.168242,-0.207618,-0.962857,0.172630,738.113460,-0.126777
702,2376,2316,gamma,0.188170,0.698459,-92.099900,0.076368,77.065296,-100.292402,-0.174138,-0.958943,0.223840,738.158413,-0.081824
702,2375,2316,gamma,3.875360,0.711616,-92.099900,-0.344768,84.438702,-100.059197,-0.173843,-0.979993,0.096911,737.924519,-0.315717
702,2370,2316,gamma,0.526285,0.698424,-92.099900,-0.153205,81.028272,-100.293348,-0.176502,-0.971868,0.155947,738.012932,-0.227304
702,2367,2316,gamma,2.231763,0.580522,-92.099900,0.167111,75.640239,-102.344976,-0.207118,-0.946358,0.248010,738.304938,0.064701
604,2381,1,neutron,1.226152,0.514057,-92.099900,-0.315457,111.632665,-79.941822,0.162347,-0.915280,-0.368655,958.932511,0.000000
605,2404,1,neutron,5.165483,-0.117095,-92.099900,0.183555,105.108373,-107.828132,-0.295580,-0.919074,-0.260646,843.959715,0.000000
