EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
307,1,0,mu+,1983.880870,0.025785,-92.099900,0.306131,87.827218,-90.347205,-0.006055,-0.999263,0.037913,637.937889,0.000000
25,1782,1,e-,12.569360,0.211361,-92.099900,-0.170290,81.559169,-70.819151,0.324992,-0.934256,0.146788,638.359269,0.000000
127,1814,1,e-,15.357435,-0.209550,-92.099900,-0.015173,96.410420,-86.336017,0.063505,-0.991716,-0.111650,638.073419,0.000000
127,1909,1814,gamma,1.811938,-0.086012,-92.099900,0.078250,95.942463,-80.038329,0.172060,-0.979631,-0.103530,638.088822,0.015403
152,2182,2153,gamma,6.439733,0.564485,-92.099900,0.139977,98.387955,-81.699722,0.142817,-0.978940,-0.145875,638.116657,0.000000
166,1961,1812,gamma,0.453759,-0.111208,-92.099900,-0.241966,75.855324,-84.618069,0.090951,-0.965407,0.244371,638.234526,0.000000
166,1959,1812,gamma,2.493356,-0.369891,-92.099900,-0.298531,77.030899,-90.519866,-0.008842,-0.974451,0.224426,638.153946,-0.080580
171,1940,1757,gamma,0.587490,-0.468523,-92.099900,0.303264,54.995809,-112.538548,-0.313969,-0.756548,0.573636,640.708107,0.000000
394,2044,1843,gamma,0.549362,-0.192133,-92.099900,-0.260602,51.316137,-117.296374,-0.357981,-0.693683,0.625023,641.531771,0.000000
604,2058,1833,gamma,0.092676,-0.300625,-92.099900,-0.140094,112.071497,-85.980368,0.064961,-0.924436,-0.375763,638.598364,0.000000
607,1,0,mu+,1850.546374,0.024769,-92.099900,-0.163021,90.958293,-88.924262,0.018771,-0.999684,-0.016725,637.934650,0.000000
712,1,0,mu+,1711.420212,0.226618,-92.099900,-0.215172,90.229337,-89.923340,0.001338,-0.999991,-0.004003,637.933560,0.000000
712,1887,1,e-,74.394584,-0.085767,-92.099900,-0.167534,89.377070,-97.334506,-0.127654,-0.991759,0.010872,637.985121,0.051561
635,1,0,mu+,1902.897954,-0.293668,-92.099900,-0.161003,88.247983,-90.762934,-0.013309,-0.999444,0.030574,637.938657,0.000000
640,2036,1818,gamma,0.019996,-0.423706,-92.099900,-0.041729,105.035066,-78.389600,0.194366,-0.946006,-0.259410,638.391156,0.000000
752,1,0,mu+,1884.854674,0.516729,-92.099900,0.170402,90.312443,-90.348929,-0.006090,-0.999967,-0.005453,637.930380,0.000000
465,1,0,mu+,1871.522946,-0.141611,-92.099900,0.148196,89.143602,-89.230434,0.013430,-0.999798,0.014946,637.930536,0.000000
764,2015,1822,gamma,0.103629,0.560686,-92.099900,0.091556,92.678290,-94.818159,-0.083902,-0.995378,-0.046728,637.959479,0.000000
764,2012,1822,gamma,0.534485,0.688177,-92.099900,-0.114059,97.394859,-91.882553,-0.032578,-0.991147,-0.128707,637.994960,0.035481
